id_pais,year,agua
VEN,2020,
VEN,2019,
VEN,2018,27867.0938328667
VEN,2017,27378.6428899875
VEN,2016,
VEN,2015,
VEN,2014,
VEN,2013,
VEN,2012,27417.4838467595
VEN,2011,
VEN,2010,
VEN,2009,
VEN,2008,
VEN,2007,29543.8853497598
VEN,2006,
VEN,2005,
VEN,2004,
VEN,2003,
VEN,2002,32071.193108542
VEN,2001,
VEN,2000,
URY,2020,
URY,2019,
URY,2018,26730.1386662183
URY,2017,26828.4911592556
URY,2016,
URY,2015,
URY,2014,
URY,2013,
URY,2012,27286.3812250757
URY,2011,
URY,2010,
URY,2009,
URY,2008,
URY,2007,27673.1198261096
URY,2006,
URY,2005,
URY,2004,
URY,2003,
URY,2002,27720.6027818016
URY,2001,
URY,2000,
USA,2020,
USA,2019,
USA,2018,8622.00320715878
USA,2017,8667.51216638198
USA,2016,
USA,2015,
USA,2014,
USA,2013,
USA,2012,8978.02023260897
USA,2011,
USA,2010,
USA,2009,
USA,2008,
USA,2007,9354.94043948773
USA,2006,
USA,2005,
USA,2004,
USA,2003,
USA,2002,9797.47278257368
USA,2001,
USA,2000,
TTO,2020,
TTO,2019,
TTO,2018,2762.9059726976
TTO,2017,2774.44619452914
TTO,2016,
TTO,2015,
TTO,2014,
TTO,2013,
TTO,2012,2855.41346238216
TTO,2011,
TTO,2010,
TTO,2009,
TTO,2008,
TTO,2007,2934.7701478849
TTO,2006,
TTO,2005,
TTO,2004,
TTO,2003,
TTO,2002,3006.55334674799
TTO,2001,
TTO,2000,
BHS,2020,
BHS,2019,
BHS,2018,1815.1879367796
BHS,2017,1833.66557607224
BHS,2016,
BHS,2015,
BHS,2014,
BHS,2013,
BHS,2012,1925.29312587842
BHS,2011,
BHS,2010,
BHS,2009,
BHS,2008,
BHS,2007,2074.76873738466
BHS,2006,
BHS,2005,
BHS,2004,
BHS,2003,
BHS,2002,2275.26108620964
BHS,2001,
BHS,2000,
SUR,2020,
SUR,2019,
SUR,2018,171878.879210816
SUR,2017,173531.685308177
SUR,2016,
SUR,2015,
SUR,2014,
SUR,2013,
SUR,2012,182910.944541032
SUR,2011,
SUR,2010,
SUR,2009,
SUR,2008,
SUR,2007,193669.170020013
SUR,2006,
SUR,2005,
SUR,2004,
SUR,2003,
SUR,2002,205297.079389832
SUR,2001,
SUR,2000,
VCT,2020,
VCT,2019,
VCT,2018,907.358678885764
VCT,2017,910.531203904358
VCT,2016,
VCT,2015,
VCT,2014,
VCT,2013,
VCT,2012,922.211463088486
VCT,2011,
VCT,2010,
VCT,2009,
VCT,2008,
VCT,2007,921.52309336872
VCT,2006,
VCT,2005,
VCT,2004,
VCT,2003,
VCT,2002,925.112169850594
VCT,2001,
VCT,2000,
LCA,2020,
LCA,2019,
LCA,2018,1649.3485073396
LCA,2017,1657.87074134453
LCA,2016,
LCA,2015,
LCA,2014,
LCA,2013,
LCA,2012,1698.23496779014
LCA,2011,
LCA,2010,
LCA,2009,
LCA,2008,
LCA,2007,1789.50633485243
LCA,2006,
LCA,2005,
LCA,2004,
LCA,2003,
LCA,2002,1882.15217827745
LCA,2001,
LCA,2000,
KNA,2020,
KNA,2019,
KNA,2018,457.683359395858
KNA,2017,461.219155968945
KNA,2016,
KNA,2015,
KNA,2014,
KNA,2013,
KNA,2012,481.145125398448
KNA,2011,
KNA,2010,
KNA,2009,
KNA,2008,
KNA,2007,502.417886076744
KNA,2006,
KNA,2005,
KNA,2004,
KNA,2003,
KNA,2002,531.34962805526
KNA,2001,
KNA,2000,
PER,2020,
PER,2019,
PER,2018,51298.4590299277
PER,2017,52187.520542277
PER,2016,
PER,2015,
PER,2014,
PER,2013,
PER,2012,55614.3179247895
PER,2011,
PER,2010,
PER,2009,
PER,2008,
PER,2007,57918.2262410859
PER,2006,
PER,2005,
PER,2004,
PER,2003,
PER,2002,60551.3516050573
PER,2001,
PER,2000,
PRY,2020,
PRY,2019,
PRY,2018,16819.8446565151
PRY,2017,17037.8639586268
PRY,2016,
PRY,2015,
PRY,2014,
PRY,2013,
PRY,2012,18220.0136727966
PRY,2011,
PRY,2010,
PRY,2009,
PRY,2008,
PRY,2007,19505.1038355036
PRY,2006,
PRY,2005,
PRY,2004,
PRY,2003,
PRY,2002,21149.8351939765
PRY,2001,
PRY,2000,
PAN,2020,
PAN,2019,
PAN,2018,32703.9303133353
PAN,2017,33262.1986556812
PAN,2016,
PAN,2015,
PAN,2014,
PAN,2013,
PAN,2012,36227.3198015719
PAN,2011,
PAN,2010,
PAN,2009,
PAN,2008,
PAN,2007,39552.1171530235
PAN,2006,
PAN,2005,
PAN,2004,
PAN,2003,
PAN,2002,43376.1643848666
PAN,2001,
PAN,2000,
NIC,2020,
NIC,2019,
NIC,2018,24160.5369544391
NIC,2017,24465.7542871454
NIC,2016,
NIC,2015,
NIC,2014,
NIC,2013,
NIC,2012,26111.0266058006
NIC,2011,
NIC,2010,
NIC,2009,
NIC,2008,
NIC,2007,27944.2138965801
NIC,2006,
NIC,2005,
NIC,2004,
NIC,2003,
NIC,2002,29929.163240297
NIC,2001,
NIC,2000,
MEX,2020,
MEX,2019,
MEX,2018,3241.12422094349
MEX,2017,3277.8391163792
MEX,2016,
MEX,2015,
MEX,2014,
MEX,2013,
MEX,2012,3487.55441053867
MEX,2011,
MEX,2010,
MEX,2009,
MEX,2008,
MEX,2007,3746.43322839687
MEX,2006,
MEX,2005,
MEX,2004,
MEX,2003,
MEX,2002,4022.2348354961
MEX,2001,
MEX,2000,
JAM,2020,
JAM,2019,
JAM,2018,3687.74858570429
JAM,2017,3705.43075161734
JAM,2016,
JAM,2015,
JAM,2014,
JAM,2013,
JAM,2012,3808.06212809557
JAM,2011,
JAM,2010,
JAM,2009,
JAM,2008,
JAM,2007,3909.7198967282
JAM,2006,
JAM,2005,
JAM,2004,
JAM,2003,
JAM,2002,4019.17230228424
JAM,2001,
JAM,2000,
HND,2020,
HND,2019,
HND,2018,9456.03989685344
HND,2017,9615.00118358056
HND,2016,
HND,2015,
HND,2014,
HND,2013,
HND,2012,10492.2152068376
HND,2011,
HND,2010,
HND,2009,
HND,2008,
HND,2007,11610.3947995267
HND,2006,
HND,2005,
HND,2004,
HND,2003,
HND,2002,13083.6349645641
HND,2001,
HND,2000,
HTI,2020,
HTI,2019,
HTI,2018,1169.35952595583
HTI,2017,1184.3530634152
HTI,2016,
HTI,2015,
HTI,2014,
HTI,2013,
HTI,2012,1268.86147411911
HTI,2011,
HTI,2010,
HTI,2009,
HTI,2008,
HTI,2007,1369.83040937151
HTI,2006,
HTI,2005,
HTI,2004,
HTI,2003,
HTI,2002,1485.80992690551
HTI,2001,
HTI,2000,
GUY,2020,
GUY,2019,
GUY,2018,309368.208501336
GUY,2017,310880.294317211
GUY,2016,
GUY,2015,
GUY,2014,
GUY,2013,
GUY,2012,319041.3403443
GUY,2011,
GUY,2010,
GUY,2009,
GUY,2008,
GUY,2007,322849.866774194
GUY,2006,
GUY,2005,
GUY,2004,
GUY,2003,
GUY,2002,323581.578138238
GUY,2001,
GUY,2000,
GTM,2020,
GTM,2019,
GTM,2018,6680.14522586782
GTM,2017,6787.91338672247
GTM,2016,
GTM,2015,
GTM,2014,
GTM,2013,
GTM,2012,7387.39199490838
GTM,2011,
GTM,2010,
GTM,2009,
GTM,2008,
GTM,2007,8102.68325698484
GTM,2006,
GTM,2005,
GTM,2004,
GTM,2003,
GTM,2002,8989.4906926666
GTM,2001,
GTM,2000,
GRD,2020,
GRD,2019,
GRD,2018,1794.54279535931
GRD,2017,1803.84941465087
GRD,2016,
GRD,2015,
GRD,2014,
GRD,2013,
GRD,2012,1861.29620667833
GRD,2011,
GRD,2010,
GRD,2009,
GRD,2008,
GRD,2007,1901.44795261592
GRD,2006,
GRD,2005,
GRD,2004,
GRD,2003,
GRD,2002,1929.83133274152
GRD,2001,
GRD,2000,
SLV,2020,
SLV,2019,
SLV,2018,2434.29885028828
SLV,2017,2446.72770910521
SLV,2016,
SLV,2015,
SLV,2014,
SLV,2013,
SLV,2012,2505.64210325169
SLV,2011,
SLV,2010,
SLV,2009,
SLV,2008,
SLV,2007,2559.85692316007
SLV,2006,
SLV,2005,
SLV,2004,
SLV,2003,
SLV,2002,2621.54236927385
SLV,2001,
SLV,2000,
ECU,2020,
ECU,2019,
ECU,2018,25895.0306534767
ECU,2017,26356.3072478177
ECU,2016,
ECU,2015,
ECU,2014,
ECU,2013,
ECU,2012,28589.7098112142
ECU,2011,
ECU,2010,
ECU,2009,
ECU,2008,
ECU,2007,30944.5199171772
ECU,2006,
ECU,2005,
ECU,2004,
ECU,2003,
ECU,2002,33659.3128219994
ECU,2001,
ECU,2000,
DOM,2020,
DOM,2019,
DOM,2018,2211.31786358088
DOM,2017,2235.3040883902
DOM,2016,
DOM,2015,
DOM,2014,
DOM,2013,
DOM,2012,2366.34767628686
DOM,2011,
DOM,2010,
DOM,2009,
DOM,2008,
DOM,2007,2516.36817186174
DOM,2006,
DOM,2005,
DOM,2004,
DOM,2003,
DOM,2002,2693.41776835094
DOM,2001,
DOM,2000,
DMA,2020,
DMA,2019,
DMA,2018,2792.28213218664
DMA,2017,2798.76854184159
DMA,2016,
DMA,2015,
DMA,2014,
DMA,2013,
DMA,2012,2818.72762634947
DMA,2011,
DMA,2010,
DMA,2009,
DMA,2008,
DMA,2007,2824.97845953925
DMA,2006,
DMA,2005,
DMA,2004,
DMA,2003,
DMA,2002,2863.68843069874
DMA,2001,
DMA,2000,
CUB,2020,
CUB,2019,
CUB,2018,3362.10170516414
CUB,2017,3361.77288543207
CUB,2016,
CUB,2015,
CUB,2014,
CUB,2013,
CUB,2012,3386.30369849745
CUB,2011,
CUB,2010,
CUB,2009,
CUB,2008,
CUB,2007,3388.10804296142
CUB,2006,
CUB,2005,
CUB,2004,
CUB,2003,
CUB,2002,3403.67353877759
CUB,2001,
CUB,2000,
CRI,2020,
CRI,2019,
CRI,2018,22602.5179204963
CRI,2017,22828.4903600134
CRI,2016,
CRI,2015,
CRI,2014,
CRI,2013,
CRI,2012,24104.080138174
CRI,2011,
CRI,2010,
CRI,2009,
CRI,2008,
CRI,2007,25654.8456100473
CRI,2006,
CRI,2005,
CRI,2004,
CRI,2003,
CRI,2002,27554.7791447874
CRI,2001,
CRI,2000,
COL,2020,
COL,2019,
COL,2018,43192.7987999289
COL,2017,43856.2020357292
COL,2016,
COL,2015,
COL,2014,
COL,2013,
COL,2012,46553.8021640508
COL,2011,
COL,2010,
COL,2009,
COL,2008,
COL,2007,49042.5701397921
COL,2006,
COL,2005,
COL,2004,
COL,2003,
COL,2002,52476.5981894766
COL,2001,
COL,2000,
CHL,2020,
CHL,2019,
CHL,2018,47252.5044628255
CHL,2017,47914.4102453461
CHL,2016,
CHL,2015,
CHL,2014,
CHL,2013,
CHL,2012,50861.0195916073
CHL,2011,
CHL,2010,
CHL,2009,
CHL,2008,
CHL,2007,53538.3689526824
CHL,2006,
CHL,2005,
CHL,2004,
CHL,2003,
CHL,2002,56425.4460782179
CHL,2001,
CHL,2000,
CAN,2020,
CAN,2019,
CAN,2018,76891.7723213578
CAN,2017,77985.5409881605
CAN,2016,
CAN,2015,
CAN,2014,
CAN,2013,
CAN,2012,82098.9161157061
CAN,2011,
CAN,2010,
CAN,2009,
CAN,2008,
CAN,2007,86655.0467823233
CAN,2006,
CAN,2005,
CAN,2004,
CAN,2003,
CAN,2002,90879.8731023605
CAN,2001,
CAN,2000,
BRA,2020,
BRA,2019,
BRA,2018,27025.43742444
BRA,2017,27238.1071752878
BRA,2016,
BRA,2015,
BRA,2014,
BRA,2013,
BRA,2012,28406.2267251843
BRA,2011,
BRA,2010,
BRA,2009,
BRA,2008,
BRA,2007,29774.2952213676
BRA,2006,
BRA,2005,
BRA,2004,
BRA,2003,
BRA,2002,31531.0131576228
BRA,2001,
BRA,2000,
BOL,2020,
BOL,2019,
BOL,2018,26732.6924533653
BOL,2017,27115.5173752394
BOL,2016,
BOL,2015,
BOL,2014,
BOL,2013,
BOL,2012,29245.4660132513
BOL,2011,
BOL,2010,
BOL,2009,
BOL,2008,
BOL,2007,31752.0498642142
BOL,2006,
BOL,2005,
BOL,2004,
BOL,2003,
BOL,2002,34714.1918250194
BOL,2001,
BOL,2000,
BLZ,2020,
BLZ,2019,
BLZ,2018,39835.9573029543
BLZ,2017,40609.4072250682
BLZ,2016,
BLZ,2015,
BLZ,2014,
BLZ,2013,
BLZ,2012,45147.7954207236
BLZ,2011,
BLZ,2010,
BLZ,2009,
BLZ,2008,
BLZ,2007,51031.4984065197
BLZ,2006,
BLZ,2005,
BLZ,2004,
BLZ,2003,
BLZ,2002,58158.3691265192
BLZ,2001,
BLZ,2000,
BRB,2020,
BRB,2019,
BRB,2018,279.095729835334
BRB,2017,279.496487078528
BRB,2016,
BRB,2015,
BRB,2014,
BRB,2013,
BRB,2012,281.990003454378
BRB,2011,
BRB,2010,
BRB,2009,
BRB,2008,
BRB,2007,287.045974000811
BRB,2006,
BRB,2005,
BRB,2004,
BRB,2003,
BRB,2002,292.58694403909
BRB,2001,
BRB,2000,
ARG,2020,
ARG,2019,
ARG,2018,6562.60856678427
ARG,2017,6629.61182873506
ARG,2016,
ARG,2015,
ARG,2014,
ARG,2013,
ARG,2012,6996.81556233634
