DATASOURCE (code);PUBLISHSTATE (code);YEAR (code);REGION (code);COUNTRY (code);ALCOHOLTYPE (code);SA_0000001400 (string);SA_0000001400 (numeric);SA_0000001400 (low);SA_0000001400 (high);SA_0000001400 (comment)
GISAHDZA;PUBLISHED;2000;AFR;DZA;SA_BEER;0.12;0.11978;0.07237;0.16687;
GISAHDZA;PUBLISHED;2000;AFR;DZA;SA_WINE;0.13;0.132;0.08053;0.18521;
GISAHDZA;PUBLISHED;2000;AFR;DZA;SA_SPIRITS;0;0;0;0;
GISAHDZA;PUBLISHED;2000;AFR;DZA;SA_OTHER_ALCOHOL;0;0;0;0;
GISAHDZA;PUBLISHED;2000;AFR;DZA;SA_TOTAL;0.25;0.25178;0.17956;0.32699;
GISAHDZA;PUBLISHED;2001;AFR;DZA;SA_BEER;0.10;0.10026;0.0632;0.13913;
GISAHDZA;PUBLISHED;2001;AFR;DZA;SA_WINE;0.12;0.12;0.07804;0.16653;
GISAHDZA;PUBLISHED;2001;AFR;DZA;SA_SPIRITS;0.01;0.01;0.00617;0.01407;
GISAHDZA;PUBLISHED;2001;AFR;DZA;SA_OTHER_ALCOHOL;0;0;0;0;
GISAHDZA;PUBLISHED;2001;AFR;DZA;SA_TOTAL;0.23;0.23026;0.17171;0.29203;
GISAHDZA;PUBLISHED;2002;AFR;DZA;SA_BEER;0.17;0.17177;0.10505;0.23349;
GISAHDZA;PUBLISHED;2002;AFR;DZA;SA_WINE;0.18;0.18;0.11517;0.25128;
GISAHDZA;PUBLISHED;2002;AFR;DZA;SA_SPIRITS;0.01;0.01;0.00603;0.01391;
GISAHDZA;PUBLISHED;2002;AFR;DZA;SA_OTHER_ALCOHOL;0;0;0;0;
GISAHDZA;PUBLISHED;2002;AFR;DZA;SA_TOTAL;0.36;0.36177;0.26392;0.4554;
GISAHDZA;PUBLISHED;2003;AFR;DZA;SA_BEER;0.19;0.19139;0.12352;0.27039;
GISAHDZA;PUBLISHED;2003;AFR;DZA;SA_WINE;0.12;0.12;0.07366;0.16549;
GISAHDZA;PUBLISHED;2003;AFR;DZA;SA_SPIRITS;0.02;0.02;0.01213;0.02714;
GISAHDZA;PUBLISHED;2003;AFR;DZA;SA_OTHER_ALCOHOL;0;0;0;0;
GISAHDZA;PUBLISHED;2003;AFR;DZA;SA_TOTAL;0.33;0.33139;0.24348;0.42158;
GISAHDZA;PUBLISHED;2004;AFR;DZA;SA_BEER;0.24;0.23826;0.14437;0.32579;
GISAHDZA;PUBLISHED;2004;AFR;DZA;SA_WINE;0.18;0.18;0.11237;0.25106;
GISAHDZA;PUBLISHED;2004;AFR;DZA;SA_SPIRITS;0.03;0.03;0.01806;0.04149;
GISAHDZA;PUBLISHED;2004;AFR;DZA;SA_OTHER_ALCOHOL;0;0;0;0;
GISAHDZA;PUBLISHED;2004;AFR;DZA;SA_TOTAL;0.45;0.44826;0.32806;0.56574;
GISAHDZA;PUBLISHED;2005;AFR;DZA;SA_BEER;0.30;0.29652;0.17681;0.40873;
GISAHDZA;PUBLISHED;2005;AFR;DZA;SA_WINE;0.18;0.18;0.10758;0.25535;
