id_pais,year,tabaco
VEN,2020,
VEN,2019,
VEN,2018,
VEN,2017,
VEN,2016,
VEN,2015,
VEN,2014,
VEN,2013,
VEN,2012,
VEN,2011,
VEN,2010,
VEN,2009,
VEN,2008,
VEN,2007,
VEN,2006,
VEN,2005,
VEN,2004,
VEN,2003,
VEN,2002,
VEN,2001,
VEN,2000,
URY,2020,21.5
URY,2019,22.0
URY,2018,22.0
URY,2017,
URY,2016,
URY,2015,24.3
URY,2014,
URY,2013,
URY,2012,
URY,2011,
URY,2010,27.5
URY,2009,
URY,2008,
URY,2007,
URY,2006,
URY,2005,31.2
URY,2004,
URY,2003,
URY,2002,
URY,2001,
URY,2000,35.3
USA,2020,23.0
USA,2019,23.4
USA,2018,23.4
USA,2017,
USA,2016,
USA,2015,25.3
USA,2014,
USA,2013,
USA,2012,
USA,2011,
USA,2010,28.0
USA,2009,
USA,2008,
USA,2007,
USA,2006,
USA,2005,30.6
USA,2004,
USA,2003,
USA,2002,
USA,2001,
USA,2000,33.8
TTO,2020,
TTO,2019,
TTO,2018,
TTO,2017,
TTO,2016,
TTO,2015,
TTO,2014,
TTO,2013,
TTO,2012,
TTO,2011,
TTO,2010,
TTO,2009,
TTO,2008,
TTO,2007,
TTO,2006,
TTO,2005,
TTO,2004,
TTO,2003,
TTO,2002,
TTO,2001,
TTO,2000,
BHS,2020,10.6
BHS,2019,10.7
BHS,2018,10.7
BHS,2017,
BHS,2016,
BHS,2015,10.6
BHS,2014,
BHS,2013,
BHS,2012,
BHS,2011,
BHS,2010,10.7
BHS,2009,
BHS,2008,
BHS,2007,
BHS,2006,
BHS,2005,10.7
BHS,2004,
BHS,2003,
BHS,2002,
BHS,2001,
BHS,2000,10.7
SUR,2020,
SUR,2019,
SUR,2018,
SUR,2017,
SUR,2016,
SUR,2015,
SUR,2014,
SUR,2013,
SUR,2012,
SUR,2011,
SUR,2010,
SUR,2009,
SUR,2008,
SUR,2007,
SUR,2006,
SUR,2005,
SUR,2004,
SUR,2003,
SUR,2002,
SUR,2001,
SUR,2000,
VCT,2020,
VCT,2019,
VCT,2018,
VCT,2017,
VCT,2016,
VCT,2015,
VCT,2014,
VCT,2013,
VCT,2012,
VCT,2011,
VCT,2010,
VCT,2009,
VCT,2008,
VCT,2007,
VCT,2006,
VCT,2005,
VCT,2004,
VCT,2003,
VCT,2002,
VCT,2001,
VCT,2000,
LCA,2020,
LCA,2019,
LCA,2018,
LCA,2017,
LCA,2016,
LCA,2015,
LCA,2014,
LCA,2013,
LCA,2012,
LCA,2011,
LCA,2010,
LCA,2009,
LCA,2008,
LCA,2007,
LCA,2006,
LCA,2005,
LCA,2004,
LCA,2003,
LCA,2002,
LCA,2001,
LCA,2000,
KNA,2020,
KNA,2019,
KNA,2018,
KNA,2017,
KNA,2016,
KNA,2015,
KNA,2014,
KNA,2013,
KNA,2012,
KNA,2011,
KNA,2010,
KNA,2009,
KNA,2008,
KNA,2007,
KNA,2006,
KNA,2005,
KNA,2004,
KNA,2003,
KNA,2002,
KNA,2001,
KNA,2000,
PER,2020,8.1
PER,2019,8.7
PER,2018,8.7
PER,2017,
PER,2016,
PER,2015,11.5
PER,2014,
PER,2013,
PER,2012,
PER,2011,
PER,2010,16.3
PER,2009,
PER,2008,
PER,2007,
PER,2006,
PER,2005,23.1
PER,2004,
PER,2003,
PER,2002,
PER,2001,
PER,2000,32.9
PRY,2020,11.5
PRY,2019,12.1
PRY,2018,12.1
PRY,2017,
PRY,2016,
PRY,2015,14.5
PRY,2014,
PRY,2013,
PRY,2012,
PRY,2011,
PRY,2010,18.2
PRY,2009,
PRY,2008,
PRY,2007,
PRY,2006,
PRY,2005,23.0
PRY,2004,
PRY,2003,
PRY,2002,
PRY,2001,
PRY,2000,29.1
PAN,2020,5.0
PAN,2019,5.3
PAN,2018,5.3
PAN,2017,
PAN,2016,
PAN,2015,6.4
PAN,2014,
PAN,2013,
PAN,2012,
PAN,2011,
PAN,2010,8.2
PAN,2009,
PAN,2008,
PAN,2007,
PAN,2006,
PAN,2005,10.5
PAN,2004,
PAN,2003,
PAN,2002,
PAN,2001,
PAN,2000,13.4
NIC,2020,
NIC,2019,
NIC,2018,
NIC,2017,
NIC,2016,
NIC,2015,
NIC,2014,
NIC,2013,
NIC,2012,
NIC,2011,
NIC,2010,
NIC,2009,
NIC,2008,
NIC,2007,
NIC,2006,
NIC,2005,
NIC,2004,
NIC,2003,
NIC,2002,
NIC,2001,
NIC,2000,
MEX,2020,13.1
MEX,2019,13.4
MEX,2018,13.4
MEX,2017,
MEX,2016,
MEX,2015,15.2
MEX,2014,
MEX,2013,
MEX,2012,
MEX,2011,
MEX,2010,17.7
MEX,2009,
MEX,2008,
MEX,2007,
MEX,2006,
MEX,2005,20.6
MEX,2004,
MEX,2003,
MEX,2002,
MEX,2001,
MEX,2000,24.0
JAM,2020,9.4
JAM,2019,9.7
JAM,2018,9.7
JAM,2017,
JAM,2016,
JAM,2015,11.0
JAM,2014,
JAM,2013,
JAM,2012,
JAM,2011,
JAM,2010,12.8
JAM,2009,
JAM,2008,
JAM,2007,
JAM,2006,
JAM,2005,14.9
JAM,2004,
JAM,2003,
JAM,2002,
JAM,2001,
JAM,2000,17.4
HND,2020,
HND,2019,
HND,2018,
HND,2017,
HND,2016,
HND,2015,
HND,2014,
HND,2013,
HND,2012,
HND,2011,
HND,2010,
HND,2009,
HND,2008,
HND,2007,
HND,2006,
HND,2005,
HND,2004,
HND,2003,
HND,2002,
HND,2001,
HND,2000,
HTI,2020,7.7
HTI,2019,7.9
HTI,2018,7.9
HTI,2017,
HTI,2016,
HTI,2015,8.6
HTI,2014,
HTI,2013,
HTI,2012,
HTI,2011,
HTI,2010,9.7
HTI,2009,
HTI,2008,
HTI,2007,
HTI,2006,
HTI,2005,10.9
HTI,2004,
HTI,2003,
HTI,2002,
HTI,2001,
HTI,2000,12.3
GUY,2020,12.1
GUY,2019,12.6
GUY,2018,12.6
GUY,2017,
GUY,2016,
GUY,2015,15.1
GUY,2014,
GUY,2013,
GUY,2012,
GUY,2011,
GUY,2010,19.1
GUY,2009,
GUY,2008,
GUY,2007,
GUY,2006,
GUY,2005,24.1
GUY,2004,
GUY,2003,
GUY,2002,
GUY,2001,
GUY,2000,30.2
GTM,2020,10.9
GTM,2019,11.0
GTM,2018,11.0
GTM,2017,
GTM,2016,
GTM,2015,11.6
GTM,2014,
GTM,2013,
GTM,2012,
GTM,2011,
GTM,2010,12.5
GTM,2009,
GTM,2008,
GTM,2007,
GTM,2006,
GTM,2005,13.4
GTM,2004,
GTM,2003,
GTM,2002,
GTM,2001,
GTM,2000,14.3
GRD,2020,
GRD,2019,
GRD,2018,
GRD,2017,
GRD,2016,
GRD,2015,
GRD,2014,
GRD,2013,
GRD,2012,
GRD,2011,
GRD,2010,
GRD,2009,
GRD,2008,
GRD,2007,
GRD,2006,
GRD,2005,
GRD,2004,
GRD,2003,
GRD,2002,
GRD,2001,
GRD,2000,
SLV,2020,7.9
SLV,2019,8.3
SLV,2018,8.3
SLV,2017,
SLV,2016,
SLV,2015,9.5
SLV,2014,
SLV,2013,
SLV,2012,
SLV,2011,
SLV,2010,11.3
SLV,2009,
SLV,2008,
SLV,2007,
SLV,2006,
SLV,2005,13.4
SLV,2004,
SLV,2003,
SLV,2002,
SLV,2001,
SLV,2000,15.9
ECU,2020,11.3
ECU,2019,11.6
ECU,2018,11.6
ECU,2017,
ECU,2016,
ECU,2015,12.8
ECU,2014,
ECU,2013,
ECU,2012,
ECU,2011,
ECU,2010,14.5
ECU,2009,
ECU,2008,
ECU,2007,
ECU,2006,
ECU,2005,16.2
ECU,2004,
ECU,2003,
ECU,2002,
ECU,2001,
ECU,2000,18.4
DOM,2020,10.6
DOM,2019,10.9
DOM,2018,10.9
DOM,2017,
DOM,2016,
DOM,2015,12.2
DOM,2014,
DOM,2013,
DOM,2012,
DOM,2011,
DOM,2010,13.9
DOM,2009,
DOM,2008,
DOM,2007,
DOM,2006,
DOM,2005,16.1
DOM,2004,
DOM,2003,
DOM,2002,
DOM,2001,
DOM,2000,18.7
DMA,2020,
DMA,2019,
DMA,2018,
DMA,2017,
DMA,2016,
DMA,2015,
DMA,2014,
DMA,2013,
DMA,2012,
DMA,2011,
DMA,2010,
DMA,2009,
DMA,2008,
DMA,2007,
DMA,2006,
DMA,2005,
DMA,2004,
DMA,2003,
DMA,2002,
DMA,2001,
DMA,2000,
CUB,2020,17.9
CUB,2019,18.7
CUB,2018,18.7
CUB,2017,
CUB,2016,
CUB,2015,22.0
CUB,2014,
CUB,2013,
CUB,2012,
CUB,2011,
CUB,2010,27.0
CUB,2009,
CUB,2008,
CUB,2007,
CUB,2006,
CUB,2005,33.2
CUB,2004,
CUB,2003,
CUB,2002,
CUB,2001,
CUB,2000,40.8
CRI,2020,8.8
CRI,2019,9.1
CRI,2018,9.1
CRI,2017,
CRI,2016,
CRI,2015,10.5
CRI,2014,
CRI,2013,
CRI,2012,
CRI,2011,
CRI,2010,12.6
CRI,2009,
CRI,2008,
CRI,2007,
CRI,2006,
CRI,2005,15.0
CRI,2004,
CRI,2003,
CRI,2002,
CRI,2001,
CRI,2000,18.0
COL,2020,8.5
COL,2019,8.8
COL,2018,8.8
COL,2017,
COL,2016,
COL,2015,9.9
COL,2014,
COL,2013,
COL,2012,
COL,2011,
COL,2010,11.4
COL,2009,
COL,2008,
COL,2007,
COL,2006,
COL,2005,13.2
COL,2004,
COL,2003,
COL,2002,
COL,2001,
COL,2000,15.1
CHL,2020,29.2
CHL,2019,29.9
CHL,2018,29.9
CHL,2017,
CHL,2016,
CHL,2015,32.9
CHL,2014,
CHL,2013,
CHL,2012,
CHL,2011,
CHL,2010,37.1
CHL,2009,
CHL,2008,
CHL,2007,
CHL,2006,
CHL,2005,41.7
CHL,2004,
CHL,2003,
CHL,2002,
CHL,2001,
CHL,2000,46.9
CAN,2020,13.0
CAN,2019,13.6
CAN,2018,13.6
CAN,2017,
CAN,2016,
CAN,2015,15.8
CAN,2014,
CAN,2013,
CAN,2012,
CAN,2011,
CAN,2010,19.3
CAN,2009,
CAN,2008,
CAN,2007,
CAN,2006,
CAN,2005,23.3
CAN,2004,
CAN,2003,
CAN,2002,
CAN,2001,
CAN,2000,28.4
BRA,2020,12.8
BRA,2019,13.2
BRA,2018,13.2
BRA,2017,
BRA,2016,
BRA,2015,14.9
BRA,2014,
BRA,2013,
BRA,2012,
BRA,2011,
BRA,2010,17.4
BRA,2009,
BRA,2008,
BRA,2007,
BRA,2006,
BRA,2005,20.4
BRA,2004,
BRA,2003,
BRA,2002,
BRA,2001,
BRA,2000,23.8
BOL,2020,12.7
BOL,2019,13.2
BOL,2018,13.2
BOL,2017,
BOL,2016,
BOL,2015,15.6
BOL,2014,
BOL,2013,
BOL,2012,
BOL,2011,
BOL,2010,19.5
BOL,2009,
BOL,2008,
BOL,2007,
BOL,2006,
BOL,2005,24.9
BOL,2004,
BOL,2003,
BOL,2002,
BOL,2001,
BOL,2000,32.1
BLZ,2020,8.5
BLZ,2019,8.8
BLZ,2018,8.8
BLZ,2017,
BLZ,2016,
BLZ,2015,9.7
BLZ,2014,
BLZ,2013,
BLZ,2012,
BLZ,2011,
BLZ,2010,11.3
BLZ,2009,
BLZ,2008,
BLZ,2007,
BLZ,2006,
BLZ,2005,13.0
BLZ,2004,
BLZ,2003,
BLZ,2002,
BLZ,2001,
BLZ,2000,15.0
BRB,2020,8.5
BRB,2019,8.5
BRB,2018,8.5
BRB,2017,
BRB,2016,
BRB,2015,8.8
BRB,2014,
BRB,2013,
BRB,2012,
BRB,2011,
BRB,2010,9.2
BRB,2009,
BRB,2008,
BRB,2007,
BRB,2006,
BRB,2005,9.7
BRB,2004,
BRB,2003,
BRB,2002,
BRB,2001,
BRB,2000,10.2
ARG,2020,24.5
ARG,2019,24.9
ARG,2018,24.9
ARG,2017,
ARG,2016,
ARG,2015,26.6
ARG,2014,
ARG,2013,
ARG,2012,
ARG,2011,
ARG,2010,28.9
ARG,2009,
ARG,2008,
ARG,2007,
ARG,2006,
ARG,2005,31.5
ARG,2004,
ARG,2003,
ARG,2002,
ARG,2001,
ARG,2000,34.0
ATG,2020,
ATG,2019,
ATG,2018,
ATG,2017,
ATG,2016,
ATG,2015,
ATG,2014,
ATG,2013,
ATG,2012,
ATG,2011,
ATG,2010,
ATG,2009,
ATG,2008,
ATG,2007,
ATG,2006,
ATG,2005,
ATG,2004,
ATG,2003,
ATG,2002,
ATG,2001,
ATG,2000,
