id_pais,year, contaminacion_aire
VEN,2020,
VEN,2019,
VEN,2018,
VEN,2017,17.0085535697031
VEN,2016,16.7679938389734
VEN,2015,18.3030057440313
VEN,2014,19.1040615270029
VEN,2013,20.4289497348793
VEN,2012,21.2457275263826
VEN,2011,22.0331079235481
VEN,2010,21.6828688155306
VEN,2009,
VEN,2008,
VEN,2007,
VEN,2006,
VEN,2005,22.3692598715422
VEN,2004,
VEN,2003,
VEN,2002,
VEN,2001,
VEN,2000,21.6102820224244
URY,2020,
URY,2019,
URY,2018,
URY,2017,9.27488332030728
URY,2016,9.19744111874605
URY,2015,9.65945431955535
URY,2014,9.92681615870071
URY,2013,10.4556055926595
URY,2012,10.567294595868
URY,2011,11.4687321965346
URY,2010,11.0270555653519
URY,2009,
URY,2008,
URY,2007,
URY,2006,
URY,2005,10.9184244895342
URY,2004,
URY,2003,
URY,2002,
URY,2001,
URY,2000,11.3670822951972
USA,2020,
USA,2019,
USA,2018,
USA,2017,7.40944166188307
USA,2016,7.40646408863749
USA,2015,8.06392022206544
USA,2014,8.22072031896057
USA,2013,8.73477721104189
USA,2012,9.00316336976139
USA,2011,9.74064060739435
USA,2010,9.35863641019104
USA,2009,
USA,2008,
USA,2007,
USA,2006,
USA,2005,9.6098244651228
USA,2004,
USA,2003,
USA,2002,
USA,2001,
USA,2000,9.52513800350703
TTO,2020,
TTO,2019,
TTO,2018,
TTO,2017,24.1085684320503
TTO,2016,24.2304806866786
TTO,2015,24.8980769004058
TTO,2014,24.8558422647213
TTO,2013,27.1587390137481
TTO,2012,27.9425046745525
TTO,2011,29.8516248658623
TTO,2010,28.7041862577357
TTO,2009,
TTO,2008,
TTO,2007,
TTO,2006,
TTO,2005,29.525935401255
TTO,2004,
TTO,2003,
TTO,2002,
TTO,2001,
TTO,2000,28.7940609951208
BHS,2020,
BHS,2019,
BHS,2018,
BHS,2017,17.3677204858567
BHS,2016,17.6513206940833
BHS,2015,18.8863062069471
BHS,2014,18.4953332809446
BHS,2013,19.9094007901768
BHS,2012,20.3170756932496
BHS,2011,21.7744249405106
BHS,2010,21.1105136971362
BHS,2009,
BHS,2008,
BHS,2007,
BHS,2006,
BHS,2005,21.0663565154046
BHS,2004,
BHS,2003,
BHS,2002,
BHS,2001,
BHS,2000,21.3182006569771
SUR,2020,
SUR,2019,
SUR,2018,
SUR,2017,24.7800105357684
SUR,2016,25.3169781742601
SUR,2015,25.9732844003894
SUR,2014,25.9988471344265
SUR,2013,28.8083168512629
SUR,2012,29.1336100996656
SUR,2011,31.0387218254506
SUR,2010,29.8318889854946
SUR,2009,
SUR,2008,
SUR,2007,
SUR,2006,
SUR,2005,29.9757050409152
SUR,2004,
SUR,2003,
SUR,2002,
SUR,2001,
SUR,2000,29.0258930084421
VCT,2020,
VCT,2019,
VCT,2018,
VCT,2017,22.2005163158424
VCT,2016,22.0765517679464
VCT,2015,23.473171475819
VCT,2014,23.0309320634118
VCT,2013,24.7621800469285
VCT,2012,25.7540788170391
VCT,2011,27.5828102182175
VCT,2010,26.3966586237771
VCT,2009,
VCT,2008,
VCT,2007,
VCT,2006,
VCT,2005,27.064134962223
VCT,2004,
VCT,2003,
VCT,2002,
VCT,2001,
VCT,2000,26.957932332641
LCA,2020,
LCA,2019,
LCA,2018,
LCA,2017,22.4008171246298
LCA,2016,22.3533992625413
LCA,2015,24.2832396784077
LCA,2014,24.2363025921188
LCA,2013,25.4448016753621
LCA,2012,26.3674847803291
LCA,2011,28.0786559337834
LCA,2010,27.6359722686825
LCA,2009,
LCA,2008,
LCA,2007,
LCA,2006,
LCA,2005,26.9848497495707
LCA,2004,
LCA,2003,
LCA,2002,
LCA,2001,
LCA,2000,27.0961331529874
KNA,2020,
KNA,2019,
KNA,2018,
KNA,2017,
KNA,2016,
KNA,2015,
KNA,2014,
KNA,2013,
KNA,2012,
KNA,2011,
KNA,2010,
KNA,2009,
KNA,2008,
KNA,2007,
KNA,2006,
KNA,2005,
KNA,2004,
KNA,2003,
KNA,2002,
KNA,2001,
KNA,2000,
PER,2020,
PER,2019,
PER,2018,
PER,2017,24.786728048654
PER,2016,25.542746040526
PER,2015,26.0372679333249
PER,2014,27.5826726016016
PER,2013,29.74308640988
PER,2012,30.4944558314919
PER,2011,31.5711656864502
PER,2010,31.5025740143547
PER,2009,
PER,2008,
PER,2007,
PER,2006,
PER,2005,32.2992294241998
PER,2004,
PER,2003,
PER,2002,
PER,2001,
PER,2000,30.2736625331581
PRY,2020,
PRY,2019,
PRY,2018,
PRY,2017,11.9090808488171
PRY,2016,11.649322480578
PRY,2015,13.0380740210492
PRY,2014,12.6410754978609
PRY,2013,12.9265692829268
PRY,2012,13.9483061467426
PRY,2011,14.598118548124
PRY,2010,15.102923169863
PRY,2009,
PRY,2008,
PRY,2007,
PRY,2006,
PRY,2005,15.1304702236947
PRY,2004,
PRY,2003,
PRY,2002,
PRY,2001,
PRY,2000,14.2130862779441
PAN,2020,
PAN,2019,
PAN,2018,
PAN,2017,11.4000543321554
PAN,2016,11.4655474228093
PAN,2015,12.4907439402203
PAN,2014,12.9216151340018
PAN,2013,13.3978705006529
PAN,2012,13.9723665117281
PAN,2011,14.2960389925591
PAN,2010,14.1389184639819
PAN,2009,
PAN,2008,
PAN,2007,
PAN,2006,
PAN,2005,14.115315679975
PAN,2004,
PAN,2003,
PAN,2002,
PAN,2001,
PAN,2000,14.3830143077584
NIC,2020,
NIC,2019,
NIC,2018,
NIC,2017,17.6141804489581
NIC,2016,17.7277291001204
NIC,2015,18.5691327681799
NIC,2014,19.3877213369292
NIC,2013,21.9290757507362
NIC,2012,22.3527116058236
NIC,2011,22.4795201525219
NIC,2010,22.4922690995416
NIC,2009,
NIC,2008,
NIC,2007,
NIC,2006,
NIC,2005,23.0294365568683
NIC,2004,
NIC,2003,
NIC,2002,
NIC,2001,
NIC,2000,23.0534073979373
MEX,2020,
MEX,2019,
MEX,2018,
MEX,2017,20.9211157874081
MEX,2016,20.7068285436195
MEX,2015,22.132995848429
MEX,2014,23.0996897467602
MEX,2013,25.4490896722485
MEX,2012,25.9816588282646
MEX,2011,27.7412967942738
MEX,2010,26.3654389998875
MEX,2009,
MEX,2008,
MEX,2007,
MEX,2006,
MEX,2005,26.8628999158892
MEX,2004,
MEX,2003,
MEX,2002,
MEX,2001,
MEX,2000,26.7791821594009
JAM,2020,
JAM,2019,
JAM,2018,
JAM,2017,13.4041505299481
JAM,2016,13.3959632146505
JAM,2015,14.1766593040773
JAM,2014,14.0743316940445
JAM,2013,14.9313997463287
JAM,2012,15.460470971142
JAM,2011,16.5424989128284
JAM,2010,16.0917149782122
JAM,2009,
JAM,2008,
JAM,2007,
JAM,2006,
JAM,2005,16.0096313259331
JAM,2004,
JAM,2003,
JAM,2002,
JAM,2001,
JAM,2000,15.8938163234463
HND,2020,
HND,2019,
HND,2018,
HND,2017,20.6288506487651
HND,2016,21.0869599195336
HND,2015,22.4061962210577
HND,2014,23.1615400770342
HND,2013,27.684136114994
HND,2012,27.4471493529279
HND,2011,28.9007471613905
HND,2010,26.8829524189731
HND,2009,
HND,2008,
HND,2007,
HND,2006,
HND,2005,28.0795514611847
HND,2004,
HND,2003,
HND,2002,
HND,2001,
HND,2000,27.5716252617668
HTI,2020,
HTI,2019,
HTI,2018,
HTI,2017,15.0198243767223
HTI,2016,15.0864831283353
HTI,2015,15.5402772992398
HTI,2014,16.2622245622879
HTI,2013,16.7670112301548
HTI,2012,17.4802448836708
HTI,2011,18.7579170327382
HTI,2010,17.7952414023104
HTI,2009,
HTI,2008,
HTI,2007,
HTI,2006,
HTI,2005,17.4617720846782
HTI,2004,
HTI,2003,
HTI,2002,
HTI,2001,
HTI,2000,17.7797899894644
GUY,2020,
GUY,2019,
GUY,2018,
GUY,2017,22.3755746295002
GUY,2016,22.3714988127167
GUY,2015,23.8878817398884
GUY,2014,23.6482656909423
GUY,2013,24.8555025747394
GUY,2012,26.9012994219331
GUY,2011,27.9294246551219
GUY,2010,27.3118647442014
GUY,2009,
GUY,2008,
GUY,2007,
GUY,2006,
GUY,2005,27.7778107411254
GUY,2004,
GUY,2003,
GUY,2002,
GUY,2001,
GUY,2000,27.3909538414192
GTM,2020,
GTM,2019,
GTM,2018,
GTM,2017,24.0706489340746
GTM,2016,23.7978287704417
GTM,2015,25.0727261043936
GTM,2014,26.5278554240981
GTM,2013,30.0568240166434
GTM,2012,29.886258891543
GTM,2011,31.727331220151
GTM,2010,29.9825902496593
GTM,2009,
GTM,2008,
GTM,2007,
GTM,2006,
GTM,2005,31.4646524989341
GTM,2004,
GTM,2003,
GTM,2002,
GTM,2001,
GTM,2000,31.0617274697009
GRD,2020,
GRD,2019,
GRD,2018,
GRD,2017,22.722687475907
GRD,2016,22.8886912438669
GRD,2015,24.1627829320111
GRD,2014,24.287031132336
GRD,2013,25.8473081378986
GRD,2012,26.4689184290542
GRD,2011,28.1395152098183
GRD,2010,27.4729078141605
GRD,2009,
GRD,2008,
GRD,2007,
GRD,2006,
GRD,2005,27.7771550291128
GRD,2004,
GRD,2003,
GRD,2002,
GRD,2001,
GRD,2000,27.4829002570838
SLV,2020,
SLV,2019,
SLV,2018,
SLV,2017,24.4722922946922
SLV,2016,24.7364861051311
SLV,2015,26.4747309242301
SLV,2014,27.5025908405296
SLV,2013,30.7598815703268
SLV,2012,30.9339743457478
SLV,2011,33.6282651306406
SLV,2010,30.4619413548253
SLV,2009,
SLV,2008,
SLV,2007,
SLV,2006,
SLV,2005,31.9728668202769
SLV,2004,
SLV,2003,
SLV,2002,
SLV,2001,
SLV,2000,31.8525956008487
ECU,2020,
ECU,2019,
ECU,2018,
ECU,2017,14.8861006610676
ECU,2016,14.9815780055032
ECU,2015,15.6997076125771
ECU,2014,16.2341875136812
ECU,2013,18.1186093049907
ECU,2012,19.5577104818053
ECU,2011,19.3219949957209
ECU,2010,19.9791881235595
ECU,2009,
ECU,2008,
ECU,2007,
ECU,2006,
ECU,2005,19.9146689169184
ECU,2004,
ECU,2003,
ECU,2002,
ECU,2001,
ECU,2000,18.7002650125971
DOM,2020,
DOM,2019,
DOM,2018,
DOM,2017,13.726321150433
DOM,2016,13.6902277245854
DOM,2015,14.8582207607442
DOM,2014,14.1880736961777
DOM,2013,15.3969506332624
DOM,2012,16.1528399096455
DOM,2011,17.2997798585331
DOM,2010,16.8744654587147
DOM,2009,
DOM,2008,
DOM,2007,
DOM,2006,
DOM,2005,16.5854453705487
DOM,2004,
DOM,2003,
DOM,2002,
DOM,2001,
DOM,2000,16.4531496034784
DMA,2020,
DMA,2019,
DMA,2018,
DMA,2017,19.4931537608634
DMA,2016,19.9881483485513
DMA,2015,20.6887886262143
DMA,2014,21.0103074675552
DMA,2013,22.1510682746978
DMA,2012,22.2157992533518
DMA,2011,24.2761229836168
DMA,2010,23.7407461881154
DMA,2009,
DMA,2008,
DMA,2007,
DMA,2006,
DMA,2005,23.5628359694142
DMA,2004,
DMA,2003,
DMA,2002,
DMA,2001,
DMA,2000,22.9554165023243
CUB,2020,
CUB,2019,
CUB,2018,
CUB,2017,19.7060474004201
CUB,2016,19.7378413521182
CUB,2015,20.8640995675413
CUB,2014,21.2962343289296
CUB,2013,22.8507432819569
CUB,2012,23.239787139786
CUB,2011,24.7873196315851
CUB,2010,23.9332977278498
CUB,2009,
CUB,2008,
CUB,2007,
CUB,2006,
CUB,2005,24.0099193558136
CUB,2004,
CUB,2003,
CUB,2002,
CUB,2001,
CUB,2000,24.1373678979693
CRI,2020,
CRI,2019,
CRI,2018,
CRI,2017,15.7259203021082
CRI,2016,15.6558122715552
CRI,2015,16.8792899428772
CRI,2014,17.5436341138655
CRI,2013,18.3415171125168
CRI,2012,19.335127675511
CRI,2011,19.7021329340499
CRI,2010,19.2729527243907
CRI,2009,
CRI,2008,
CRI,2007,
CRI,2006,
CRI,2005,19.6573072133395
CRI,2004,
CRI,2003,
CRI,2002,
CRI,2001,
CRI,2000,19.4121020855013
COL,2020,
COL,2019,
COL,2018,
COL,2017,16.5272102219124
COL,2016,16.580600367949
COL,2015,17.3002842821175
COL,2014,18.3442052573323
COL,2013,19.2233480224231
COL,2012,20.5366362157463
COL,2011,21.3677787511874
COL,2010,21.4978454233525
COL,2009,
COL,2008,
COL,2007,
COL,2006,
COL,2005,21.2847753629773
COL,2004,
COL,2003,
COL,2002,
COL,2001,
COL,2000,20.053419966933
CHL,2020,
CHL,2019,
CHL,2018,
CHL,2017,21.0362990619754
CHL,2016,20.8768704085084
CHL,2015,22.5697925543167
CHL,2014,22.8682518073035
CHL,2013,23.9366936042629
CHL,2012,25.0471553039699
CHL,2011,27.2458670675305
CHL,2010,25.8922916949858
CHL,2009,
CHL,2008,
CHL,2007,
CHL,2006,
CHL,2005,25.5273169833417
CHL,2004,
CHL,2003,
CHL,2002,
CHL,2001,
CHL,2000,26.1685947683912
CAN,2020,
CAN,2019,
CAN,2018,
CAN,2017,6.42838313258525
CAN,2016,6.54907476129371
CAN,2015,7.15158214464181
CAN,2014,7.42841986407115
CAN,2013,7.79163612486354
CAN,2012,8.10741049508877
CAN,2011,8.62446106021405
CAN,2010,8.38445726234609
CAN,2009,
CAN,2008,
CAN,2007,
CAN,2006,
CAN,2005,8.49546913726218
CAN,2004,
CAN,2003,
