year,id_pais,edvan
1950,ATG,57.1374
1951,ATG,57.5265
1952,ATG,57.9067
1953,ATG,58.2632
1954,ATG,58.6752
1955,ATG,59.0788
1956,ATG,59.4789
1957,ATG,59.9093
1958,ATG,60.3722
1959,ATG,60.9333
1960,ATG,61.5505
1961,ATG,62.3628
1962,ATG,63.192
1963,ATG,64.1013
1964,ATG,65.0582
1965,ATG,66.0263
1966,ATG,66.9564
1967,ATG,67.8593
1968,ATG,68.6708
1969,ATG,69.5348
1970,ATG,70.0583
1971,ATG,70.6835
1972,ATG,71.0159
1973,ATG,71.3493
1974,ATG,71.7471
1975,ATG,71.9768
1976,ATG,72.3589
1977,ATG,72.5457
1978,ATG,72.8705
1979,ATG,73.0348
1980,ATG,73.1835
1981,ATG,73.3385
1982,ATG,73.4583
1983,ATG,73.4713
1984,ATG,73.5243
1985,ATG,73.5656
1986,ATG,73.556
1987,ATG,73.5537
1988,ATG,73.5296
1989,ATG,73.4162
1990,ATG,73.4922
1991,ATG,73.4354
1992,ATG,73.4168
1993,ATG,73.4819
1994,ATG,73.5912
1995,ATG,73.6363
1996,ATG,73.8291
1997,ATG,73.9603
1998,ATG,74.0413
1999,ATG,74.3467
2000,ATG,74.6058
2001,ATG,75.0781
2002,ATG,75.5357
2003,ATG,75.4778
2004,ATG,75.6721
2005,ATG,75.8254
2006,ATG,75.7647
2007,ATG,76.1311
2008,ATG,76.4103
2009,ATG,76.6694
2010,ATG,76.8195
2011,ATG,77.1038
2012,ATG,77.3502
2013,ATG,77.5834
2014,ATG,77.8577
2015,ATG,77.9127
2016,ATG,78.1516
2017,ATG,78.2683
2018,ATG,78.5112
2019,ATG,78.6912
2020,ATG,78.8406
2021,ATG,78.4968
2022,ATG,79.2361
1950,ARG,61.226
1951,ARG,61.573
1952,ARG,62.2534
1953,ARG,62.3684
1954,ARG,62.87
1955,ARG,62.5077
1956,ARG,63.3747
1957,ARG,63.0383
1958,ARG,63.9753
1959,ARG,63.8402
1960,ARG,63.9782
1961,ARG,64.3597
1962,ARG,64.2444
1963,ARG,64.4493
1964,ARG,64.3632
1965,ARG,64.5925
1966,ARG,64.8912
1967,ARG,64.9924
1968,ARG,64.8904
1969,ARG,64.8588
1970,ARG,65.5887
1971,ARG,65.5408
1972,ARG,65.9233
1973,ARG,66.323
1974,ARG,66.5626
1975,ARG,67.0806
