id_pais,year, fuerza_laboral
VEN,2020,10459875.0
VEN,2019,10920757.0
VEN,2018,11984547.0
VEN,2017,12606669.0
VEN,2016,13109698.0
VEN,2015,13416397.0
VEN,2014,13557468.0
VEN,2013,13607727.0
VEN,2012,13095403.0
VEN,2011,12941283.0
VEN,2010,12728031.0
VEN,2009,12525010.0
VEN,2008,12336408.0
VEN,2007,12124615.0
VEN,2006,11963899.0
VEN,2005,11606475.0
VEN,2004,11185252.0
VEN,2003,10634723.0
VEN,2002,10554345.0
VEN,2001,10488958.0
VEN,2000,10202994.0
URY,2020,1686696.0
URY,2019,1744635.0
URY,2018,1743852.0
URY,2017,1745467.0
URY,2016,1749033.0
URY,2015,1748294.0
URY,2014,1763086.0
URY,2013,1725619.0
URY,2012,1725957.0
URY,2011,1736709.0
URY,2010,1679916.0
URY,2009,1680923.0
URY,2008,1650449.0
URY,2007,1634335.0
URY,2006,1577935.0
URY,2005,1508402.0
URY,2004,1503124.0
URY,2003,1491186.0
URY,2002,1511033.0
URY,2001,1547754.0
URY,2000,1507066.0
USA,2020,164740393.0
USA,2019,166355636.0
USA,2018,164634753.0
USA,2017,163395307.0
USA,2016,161836238.0
USA,2015,159912569.0
USA,2014,158910317.0
USA,2013,158252925.0
USA,2012,157841889.0
USA,2011,157163170.0
USA,2010,157111093.0
USA,2009,157079943.0
USA,2008,156907793.0
USA,2007,155224880.0
USA,2006,153855509.0
USA,2005,151976098.0
USA,2004,150102997.0
USA,2003,149003774.0
USA,2002,148295437.0
USA,2001,147226537.0
USA,2000,146013784.0
TTO,2020,634920.0
TTO,2019,657766.0
TTO,2018,654191.0
TTO,2017,650760.0
TTO,2016,648108.0
TTO,2015,651962.0
TTO,2014,663466.0
TTO,2013,652144.0
TTO,2012,651603.0
TTO,2011,635172.0
TTO,2010,640808.0
TTO,2009,655800.0
TTO,2008,659933.0
TTO,2007,654625.0
TTO,2006,653832.0
TTO,2005,645612.0
TTO,2004,630721.0
TTO,2003,608514.0
TTO,2002,593362.0
TTO,2001,581765.0
TTO,2000,577040.0
BHS,2020,204715.0
BHS,2019,220584.0
BHS,2018,217185.0
BHS,2017,213870.0
BHS,2016,210492.0
BHS,2015,206732.0
BHS,2014,203253.0
BHS,2013,199676.0
BHS,2012,200871.0
BHS,2011,191668.0
BHS,2010,189247.0
BHS,2009,186729.0
