id_pais,year, ingreso_medio_pc
VEN,2020,
VEN,2019,
VEN,2018,
VEN,2017,
VEN,2016,
VEN,2015,
VEN,2014,13080.0
VEN,2013,11970.0
VEN,2012,12710.0
VEN,2011,11980.0
VEN,2010,11810.0
VEN,2009,10380.0
VEN,2008,9400.0
VEN,2007,7630.0
VEN,2006,6130.0
VEN,2005,4980.0
VEN,2004,4110.0
VEN,2003,3490.0
VEN,2002,3990.0
VEN,2001,4600.0
VEN,2000,4120.0
URY,2020,15740.0
URY,2019,17770.0
URY,2018,17280.0
URY,2017,15920.0
URY,2016,15440.0
URY,2015,15620.0
URY,2014,15790.0
URY,2013,15330.0
URY,2012,13330.0
URY,2011,12060.0
URY,2010,10440.0
URY,2009,8810.0
URY,2008,7710.0
URY,2007,6390.0
URY,2006,5390.0
URY,2005,4720.0
URY,2004,4130.0
URY,2003,4250.0
URY,2002,5140.0
URY,2001,6500.0
URY,2000,7060.0
USA,2020,64140.0
USA,2019,65970.0
USA,2018,63490.0
USA,2017,59250.0
USA,2016,57140.0
USA,2015,56620.0
USA,2014,55800.0
USA,2013,53990.0
USA,2012,52790.0
USA,2011,50620.0
USA,2010,49150.0
USA,2009,47870.0
USA,2008,49100.0
USA,2007,48500.0
USA,2006,47830.0
USA,2005,46180.0
USA,2004,43510.0
USA,2003,39750.0
USA,2002,37310.0
USA,2001,36700.0
USA,2000,35960.0
TTO,2020,15910.0
TTO,2019,16740.0
TTO,2018,16120.0
TTO,2017,16120.0
TTO,2016,16870.0
TTO,2015,19030.0
TTO,2014,18590.0
TTO,2013,18770.0
TTO,2012,16850.0
TTO,2011,14970.0
TTO,2010,16460.0
TTO,2009,16200.0
TTO,2008,17350.0
TTO,2007,15000.0
TTO,2006,13280.0
TTO,2005,11190.0
TTO,2004,9700.0
TTO,2003,8070.0
TTO,2002,6760.0
TTO,2001,6070.0
TTO,2000,5400.0
BHS,2020,24290.0
BHS,2019,32420.0
BHS,2018,31070.0
BHS,2017,30580.0
BHS,2016,28930.0
BHS,2015,28810.0
BHS,2014,28180.0
BHS,2013,27600.0
BHS,2012,28590.0
BHS,2011,27900.0
BHS,2010,28290.0
BHS,2009,28980.0
BHS,2008,30900.0
BHS,2007,31090.0
BHS,2006,30760.0
BHS,2005,30570.0
BHS,2004,29270.0
BHS,2003,27770.0
BHS,2002,27190.0
BHS,2001,26560.0
BHS,2000,26360.0
SUR,2020,4620.0
SUR,2019,6190.0
SUR,2018,5970.0
SUR,2017,5940.0
SUR,2016,6940.0
SUR,2015,8890.0
SUR,2014,9260.0
SUR,2013,8950.0
SUR,2012,8550.0
SUR,2011,7920.0
SUR,2010,7620.0
SUR,2009,6960.0
SUR,2008,6330.0
SUR,2007,5050.0
SUR,2006,4040.0
SUR,2005,3320.0
SUR,2004,2820.0
SUR,2003,2200.0
SUR,2002,1930.0
SUR,2001,1670.0
SUR,2000,1970.0
VCT,2020,7790.0
VCT,2019,8140.0
VCT,2018,7990.0
VCT,2017,7460.0
VCT,2016,7290.0
VCT,2015,6980.0
VCT,2014,6790.0
VCT,2013,6950.0
VCT,2012,6740.0
VCT,2011,6450.0
VCT,2010,6410.0
VCT,2009,6660.0
VCT,2008,6530.0
VCT,2007,6200.0
VCT,2006,5750.0
VCT,2005,5240.0
VCT,2004,4990.0
VCT,2003,4620.0
VCT,2002,4210.0
VCT,2001,3850.0
VCT,2000,3570.0
LCA,2020,8910.0
LCA,2019,10840.0
LCA,2018,10720.0
LCA,2017,10060.0
LCA,2016,9430.0
LCA,2015,8740.0
LCA,2014,8840.0
LCA,2013,8790.0
LCA,2012,8850.0
LCA,2011,8820.0
LCA,2010,8170.0
LCA,2009,8020.0
LCA,2008,8090.0
LCA,2007,7500.0
LCA,2006,7260.0
LCA,2005,6230.0
LCA,2004,6000.0
LCA,2003,5370.0
LCA,2002,5010.0
LCA,2001,4990.0
LCA,2000,5250.0
KNA,2020,18440.0
KNA,2019,21150.0
KNA,2018,19780.0
KNA,2017,18530.0
KNA,2016,17900.0
KNA,2015,17160.0
KNA,2014,17340.0
KNA,2013,17300.0
KNA,2012,16070.0
KNA,2011,15900.0
KNA,2010,15270.0
KNA,2009,15290.0
KNA,2008,15520.0
KNA,2007,13050.0
KNA,2006,12440.0
KNA,2005,11640.0
KNA,2004,10390.0
KNA,2003,9270.0
KNA,2002,9370.0
KNA,2001,9440.0
KNA,2000,9120.0
PER,2020,6060.0
PER,2019,6840.0
PER,2018,6480.0
PER,2017,6060.0
PER,2016,6110.0
PER,2015,6340.0
PER,2014,6530.0
PER,2013,6420.0
PER,2012,5790.0
PER,2011,4970.0
PER,2010,4410.0
PER,2009,3970.0
PER,2008,3790.0
PER,2007,3210.0
PER,2006,2810.0
PER,2005,2540.0
PER,2004,2280.0
PER,2003,2080.0
PER,2002,1960.0
PER,2001,1900.0
PER,2000,1970.0
PRY,2020,5150.0
PRY,2019,5510.0
PRY,2018,5600.0
PRY,2017,5370.0
PRY,2016,5420.0
PRY,2015,5640.0
PRY,2014,5800.0
PRY,2013,5500.0
PRY,2012,4750.0
PRY,2011,4440.0
PRY,2010,4050.0
PRY,2009,3440.0
PRY,2008,3070.0
PRY,2007,2320.0
PRY,2006,1840.0
PRY,2005,1520.0
PRY,2004,1350.0
PRY,2003,1230.0
PRY,2002,1330.0
PRY,2001,1410.0
PRY,2000,1440.0
PAN,2020,12420.0
PAN,2019,14920.0
PAN,2018,14490.0
PAN,2017,13750.0
PAN,2016,12780.0
PAN,2015,12200.0
PAN,2014,11190.0
PAN,2013,10630.0
PAN,2012,9540.0
PAN,2011,8550.0
PAN,2010,7260.0
PAN,2009,6900.0
PAN,2008,6540.0
PAN,2007,5770.0
PAN,2006,5100.0
PAN,2005,4790.0
PAN,2004,4460.0
PAN,2003,4040.0
PAN,2002,3940.0
PAN,2001,3830.0
PAN,2000,3880.0
NIC,2020,1770.0
NIC,2019,1890.0
NIC,2018,1970.0
NIC,2017,2030.0
NIC,2016,1960.0
NIC,2015,1890.0
NIC,2014,1830.0
NIC,2013,1740.0
NIC,2012,1670.0
NIC,2011,1570.0
NIC,2010,1460.0
NIC,2009,1380.0
NIC,2008,1390.0
NIC,2007,1290.0
NIC,2006,1200.0
NIC,2005,1160.0
NIC,2004,1080.0
NIC,2003,1000.0
NIC,2002,960.0
NIC,2001,970.0
NIC,2000,960.0
MEX,2020,8530.0
MEX,2019,9470.0
MEX,2018,9180.0
MEX,2017,8920.0
MEX,2016,9390.0
MEX,2015,10160.0
MEX,2014,10500.0
MEX,2013,10270.0
MEX,2012,10050.0
MEX,2011,9310.0
MEX,2010,9040.0
MEX,2009,8820.0
MEX,2008,9780.0
MEX,2007,9250.0
MEX,2006,8690.0
MEX,2005,8050.0
MEX,2004,7820.0
MEX,2003,7360.0
MEX,2002,7100.0
MEX,2001,6740.0
MEX,2000,6210.0
JAM,2020,4670.0
JAM,2019,5250.0
JAM,2018,5010.0
JAM,2017,4750.0
JAM,2016,4600.0
JAM,2015,4700.0
JAM,2014,4910.0
JAM,2013,5010.0
JAM,2012,4980.0
JAM,2011,4590.0
JAM,2010,4390.0
JAM,2009,4330.0
JAM,2008,4560.0
JAM,2007,4320.0
JAM,2006,4080.0
JAM,2005,3800.0
JAM,2004,3650.0
JAM,2003,3440.0
JAM,2002,3260.0
JAM,2001,3240.0
JAM,2000,3240.0
HND,2020,2190.0
HND,2019,2390.0
HND,2018,2330.0
HND,2017,2250.0
HND,2016,2120.0
HND,2015,2060.0
HND,2014,2010.0
HND,2013,2010.0
HND,2012,1970.0
HND,2011,1880.0
HND,2010,1740.0
HND,2009,1670.0
HND,2008,1630.0
HND,2007,1490.0
HND,2006,1360.0
HND,2005,1290.0
HND,2004,1210.0
HND,2003,1130.0
HND,2002,1070.0
HND,2001,1050.0
HND,2000,1020.0
HTI,2020,1320.0
HTI,2019,1390.0
HTI,2018,1410.0
HTI,2017,1340.0
HTI,2016,1360.0
HTI,2015,1410.0
HTI,2014,1430.0
HTI,2013,1390.0
HTI,2012,1300.0
HTI,2011,1240.0
HTI,2010,1130.0
HTI,2009,1160.0
HTI,2008,1010.0
HTI,2007,900.0
HTI,2006,790.0
HTI,2005,690.0
HTI,2004,650.0
HTI,2003,660.0
HTI,2002,720.0
HTI,2001,640.0
HTI,2000,550.0
GUY,2020,8220.0
GUY,2019,6630.0
GUY,2018,6290.0
GUY,2017,5910.0
GUY,2016,5600.0
GUY,2015,5470.0
GUY,2014,5570.0
GUY,2013,5540.0
GUY,2012,5290.0
GUY,2011,4820.0
GUY,2010,4510.0
GUY,2009,4190.0
GUY,2008,3850.0
GUY,2007,2280.0
GUY,2006,1470.0
GUY,2005,1090.0
GUY,2004,1030.0
GUY,2003,940.0
GUY,2002,890.0
GUY,2001,880.0
GUY,2000,890.0
GTM,2020,4490.0
GTM,2019,4610.0
GTM,2018,4400.0
GTM,2017,4100.0
GTM,2016,3870.0
GTM,2015,3700.0
GTM,2014,3550.0
GTM,2013,3380.0
GTM,2012,3160.0
GTM,2011,2910.0
GTM,2010,2730.0
GTM,2009,2650.0
GTM,2008,2610.0
GTM,2007,2370.0
GTM,2006,2150.0
GTM,2005,2000.0
GTM,2004,1850.0
GTM,2003,1670.0
GTM,2002,1600.0
GTM,2001,1600.0
GTM,2000,1670.0
GRD,2020,8910.0
GRD,2019,9750.0
GRD,2018,9610.0
GRD,2017,8740.0
GRD,2016,8350.0
GRD,2015,7750.0
GRD,2014,7520.0
GRD,2013,7350.0
GRD,2012,7030.0
GRD,2011,7060.0
GRD,2010,6940.0
GRD,2009,6720.0
GRD,2008,7260.0
GRD,2007,6830.0
GRD,2006,6430.0
GRD,2005,6650.0
GRD,2004,5350.0
GRD,2003,5290.0
GRD,2002,4650.0
GRD,2001,4510.0
GRD,2000,4610.0
SLV,2020,3630.0
SLV,2019,3980.0
SLV,2018,3820.0
SLV,2017,3600.0
SLV,2016,3510.0
SLV,2015,3440.0
SLV,2014,3400.0
SLV,2013,3350.0
SLV,2012,3210.0
SLV,2011,3060.0
SLV,2010,2880.0
SLV,2009,2820.0
SLV,2008,2870.0
SLV,2007,2680.0
SLV,2006,2570.0
SLV,2005,2420.0
SLV,2004,2270.0
SLV,2003,2130.0
SLV,2002,2000.0
SLV,2001,1950.0
SLV,2000,1900.0
ECU,2020,5540.0
ECU,2019,6090.0
ECU,2018,6090.0
ECU,2017,5860.0
ECU,2016,5800.0
ECU,2015,5970.0
ECU,2014,6110.0
ECU,2013,5810.0
ECU,2012,5390.0
ECU,2011,4880.0
ECU,2010,4400.0
ECU,2009,4060.0
ECU,2008,3850.0
ECU,2007,3300.0
ECU,2006,3100.0
ECU,2005,2880.0
ECU,2004,2550.0
ECU,2003,2110.0
ECU,2002,1730.0
ECU,2001,1550.0
ECU,2000,1550.0
DOM,2020,7270.0
DOM,2019,8100.0
DOM,2018,7780.0
DOM,2017,7090.0
DOM,2016,6860.0
DOM,2015,6580.0
DOM,2014,6330.0
DOM,2013,6030.0
DOM,2012,5790.0
DOM,2011,5540.0
DOM,2010,5330.0
DOM,2009,4920.0
DOM,2008,4760.0
DOM,2007,4430.0
DOM,2006,3640.0
DOM,2005,3040.0
DOM,2004,2560.0
DOM,2003,2640.0
DOM,2002,2890.0
DOM,2001,2740.0
DOM,2000,2680.0
DMA,2020,7140.0
DMA,2019,8210.0
DMA,2018,7800.0
DMA,2017,7270.0
DMA,2016,7270.0
DMA,2015,6920.0
DMA,2014,7040.0
DMA,2013,6700.0
DMA,2012,6850.0
DMA,2011,6920.0
DMA,2010,6730.0
DMA,2009,6520.0
DMA,2008,6340.0
DMA,2007,5760.0
DMA,2006,5490.0
DMA,2005,5050.0
DMA,2004,4950.0
DMA,2003,4680.0
DMA,2002,4270.0
DMA,2001,4470.0
DMA,2000,4220.0
CUB,2020,
CUB,2019,
CUB,2018,8630.0
CUB,2017,7950.0
CUB,2016,7480.0
CUB,2015,7230.0
CUB,2014,6840.0
CUB,2013,6640.0
CUB,2012,6110.0
CUB,2011,5630.0
CUB,2010,5200.0
CUB,2009,5110.0
CUB,2008,5050.0
CUB,2007,4750.0
CUB,2006,4410.0
CUB,2005,3960.0
CUB,2004,3490.0
CUB,2003,3100.0
CUB,2002,2820.0
CUB,2001,2760.0
CUB,2000,2620.0
CRI,2020,11580.0
CRI,2019,12120.0
CRI,2018,11970.0
CRI,2017,11500.0
CRI,2016,11100.0
CRI,2015,10700.0
CRI,2014,10350.0
CRI,2013,9930.0
CRI,2012,9280.0
CRI,2011,8090.0
CRI,2010,7260.0
CRI,2009,6540.0
CRI,2008,6410.0
CRI,2007,5680.0
CRI,2006,5060.0
CRI,2005,4640.0
CRI,2004,4380.0
CRI,2003,4030.0
CRI,2002,3770.0
CRI,2001,3670.0
CRI,2000,3570.0
COL,2020,5830.0
COL,2019,6570.0
COL,2018,6270.0
COL,2017,5940.0
COL,2016,6460.0
COL,2015,7330.0
COL,2014,8210.0
COL,2013,7960.0
COL,2012,7290.0
COL,2011,6320.0
COL,2010,5630.0
COL,2009,5140.0
COL,2008,4710.0
COL,2007,4120.0
COL,2006,3500.0
COL,2005,3000.0
COL,2004,2620.0
COL,2003,2370.0
COL,2002,2370.0
COL,2001,2330.0
COL,2000,2340.0
CHL,2020,13120.0
