,PAIS,NOMBRE PAIS,ANIO,LONG,LAT,NIVEL INGRESOS,ESPERANZA,ACCESO AGUA,ACCESO ELECTRICIDAD,AGOTAMIENTO RECURSOS,ALFABETIZACION,ANIOS ESCOLARIDAD,CAMAS HOSPITALES,CONSUMO ALCOHOL,DENSIDAD POBLACION,DESEMPLEO,EMISIONES CO2,FUERZA LABORAL,GINI,INGRESO MEDIO PC,INVERSION DESARROLLO,INVERSION EDUCACION,INVERSION SALUD,OBESIDAD,PIB,POBLACION,PRODUCCION ALIMENTOS,RENTA RECURSOS,SERV SANITARIOS,INDUSTRIA,CONSUMO TABACO,CONTAMINACION AIRE
0,ARG,Argentina,2000,-58.4173,-34.6118,UMC,73.926,7749.11075636814,95.7832870483398,1.91419459247328,97.1933135986328,8.9,4.1,9.556666666666667,13.4727703905082,15.0,3.58739203786108,16436817.0,51.1,7470.0,0.438840001821518,4.58030986785889,8.2200098,18.633333333333333,284203750000.0,36870796.0,69.17,2.28470069475626,87.22025186,25.9908360111364,34.0,16.7809479169912
1,ARG,Argentina,2001,-58.4173,-34.6118,UMC,74.1864,7749.11075636814,95.5110626220703,1.58746838835419,97.1933135986328,9.1,4.08,8.698796666666667,13.6207038429636,17.3199996948242,3.3603711850022,16504173.0,53.3,7000.0,0.424609988927841,4.833740234375,8.37179756,19.066666666666666,268696750000.0,37275644.0,69.38,1.92453004289424,87.75030642,25.2434339827333,33.5,16.70537540655884
2,ARG,Argentina,2002,-58.4173,-34.6118,UMC,74.408,7749.11075636814,96.2288665771484,4.80703541719776,97.4768112182617,9.1,4.06,8.216686666666666,13.7690944169782,19.5900001525879,3.11742482880113,16336016.0,53.8,4040.0,0.388859987258911,4.01734018325806,7.3933115,19.5,97724004251.8602,37681743.0,69.01,5.81533741054247,88.27940072,30.5577370913046,33.0,16.62980289612648
3,ARG,Argentina,2003,-58.4173,-34.6118,UMC,74.0801,7670.90321301644,96.4426345825195,4.26747957749844,97.7603088378906,9.2,4.04,7.749493333333334,13.9174937607109,15.3599996566772,3.35172371332405,16799186.0,50.9,3650.0,0.410129994153976,3.53504991531372,6.89451599,19.900000000000002,127586973492.177,38087866.0,71.64,5.11833945547396,88.80778679,32.6450990996503,32.5,16.55423038569412
4,ARG,Argentina,2004,-58.4173,-34.6118,UMC,74.8549,7592.695669664739,96.6535034179688,4.47264486124708,98.0438064575195,9.3,4.02,7.729806666666666,14.0651553519032,13.5200004577637,3.67297399646765,17277472.0,48.4,3370.0,0.403759986162186,3.48652005195618,7.22868299,20.3,164657930452.787,38491970.0,73.2,4.95048349859177,89.33608423,28.816922006834,32.0,16.47865787526176
5,ARG,Argentina,2005,-58.4173,-34.6118,UMC,75.1388,7514.48812631304,96.8638458251953,5.26331735387871,98.3273040771484,9.2,4.0,7.683879999999999,14.2116659175866,11.5100002288818,3.75363923507433,17396830.0,47.7,4260.0,0.420740008354187,3.86000990867615,7.61078882,20.733333333333334,198737095012.282,38892924.0,83.23,5.75121620027831,89.86410386,28.6263140439084,31.5,16.4030853648294
6,ARG,Argentina,2006,-58.4173,-34.6118,UMC,75.4326,7436.28058296134,97.076057434082,5.16254869845176,98.6108016967773,9.1,4.1,7.614406666666667,14.3567141327662,10.0799999237061,3.94249128952415,17709282.0,46.3,5480.0,0.452160000801086,4.12821006774902,7.64032841,21.166666666666668,232557260817.308,39289876.0,82.17,6.11775266236952,90.3920797,29.2032796652469,30.98,16.49428841503796
7,ARG,Argentina,2007,-58.4173,-34.6118,UMC,75.0057,7358.07303960964,97.2927932739258,4.1041275437279,98.73500823974607,10.3,4.2,7.675296666666667,14.5008397005141,8.47000026702881,4.10262963566713,17752637.0,46.2,6510.0,0.460070013999939,4.46260023117065,7.83455086,21.633333333333336,287530508430.568,39684303.0,90.0,4.96376290598617,90.91980455,27.4152361334783,30.46,16.58549146524652
8,ARG,Argentina,2008,-58.4173,-34.6118,UMC,75.6411,7285.82154415498,97.5167541503906,4.13006508086093,98.85921478271483,10.3,4.3,7.853333333333334,14.6454874318977,7.84000015258789,4.1723885308823,17796615.0,44.9,7670.0,0.470550000667572,4.84440994262695,8.18266869,22.066666666666666,361558037110.419,40080159.0,91.27,5.00758015026195,91.44751476,26.2724599395946,29.939999999999998,16.676694515455083
9,ARG,Argentina,2009,-58.4173,-34.6118,UMC,75.9359,7213.57004870032,97.7506561279297,2.42873577400779,98.9834213256836,10.3,4.4,8.126666666666667,14.792609320018,8.64999961853027,3.86756996725025,18144303.0,43.7,7800.0,0.583980023860931,5.53105020523071,9.45598793,22.533333333333335,332976484577.619,40482786.0,76.21,3.03424095605109,91.97501431,25.2842047993735,29.419999999999998,16.76789756566364
10,ARG,Argentina,2010,-58.4173,-34.6118,UMC,75.7208,7141.31855324566,98.8199996948242,2.6257130091347,98.9549713134766,10.3,4.5,8.306666666666667,14.904301546759,7.71000003814697,4.09968971416256,18158593.0,43.6,9270.0,0.561039984226227,5.01971006393433,9.44546986,22.966666666666665,423627422092.49,40788453.0,88.24,3.3233580463399,92.50233092,25.2587762576722,28.9,16.8591006158722
11,ARG,Argentina,2011,-58.4173,-34.6118,UMC,76.124,7069.067057791,99.0953521728516,2.9579204857672,99.1083297729492,10.3,4.39,8.303333333333333,15.0771515955406,7.17999982833862,4.2809893532601,18563047.0,42.6,10710.0,0.565970003604889,5.29062986373901,9.41821575,23.433333333333334,530163281574.658,41261490.0,92.84,3.71554751491933,93.02688168,25.2126976058843,28.439999999999998,17.382982132833
12,ARG,Argentina,2012,-58.4173,-34.6118,UMC,76.4669,6996.81556233634,99.22998046875,2.6854793413505,99.1052322387695,10.3,4.59,8.06,15.2495426957383,7.21999979019165,4.26422378235981,18728448.0,41.3,11890.0,0.634909987449646,5.34582996368408,9.82728195,23.899999999999995,545982375701.128,41733271.0,86.51,3.41336111841849,93.55005363,24.4290570649122,27.98,16.1350718237481
13,ARG,Argentina,2013,-58.4173,-34.6118,UMC,76.4908,6923.374815616084,99.3426742553711,2.32359754578302,99.1219482421875,10.4,4.78,7.946666666666666,15.421160233713,7.09999990463257,4.34211506853729,18849614.0,40.9,12870.0,0.618489980697632,5.43661022186279,9.78097343,24.366666666666664,552025140252.246,42202935.0,94.02,3.01544202009906,94.01399452,24.0058814423072,27.52,15.5973751475223
14,ARG,Argentina,2014,-58.4173,-34.6118,UMC,76.7549,6849.934068895828,100.0,2.08130967358465,98.9938888549805,10.4,4.84,7.986666666666667,15.5916453818299,7.26999998092651,4.20909563279429,18928695.0,41.6,12350.0,0.593959987163544,5.36144018173218,9.67129135,24.833333333333332,526319673731.638,42669500.0,95.09,2.74526885141793,94.48011382,24.2773944936602,27.060000000000002,14.4669804074766
15,ARG,Argentina,2015,-58.4173,-34.6118,UMC,76.7602,6776.493322175572,99.6253890991211,0.815237489374117,99.1799621582031,10.4,4.96,8.066666666666665,15.7606327351655,7.52099990844727,4.30191387639872,19106351.0,42.189083998905595,12600.0,0.622619986534119,5.77611017227173,10.22933865,25.3,594749285413.212,43131966.0,103.96,1.08743567210003,94.9480284,23.153056135905,26.6,14.6316258961135
16,ARG,Argentina,2016,-58.4173,-34.6118,UMC,76.3077,6703.052575455316,99.8495788574219,0.658037613654864,99.1250076293945,10.4,4.95,8.229999999999999,15.9281350828921,8.11100006103516,4.20184577616112,19274835.0,42.0,12220.0,0.558149993419647,5.54548978805542,9.00189686,25.8,557531376217.967,43590368.0,100.94,0.936269075921548,95.41770247,22.0541072112108,26.033333333333335,13.7514440269638
17,ARG,Argentina,2017,-58.4173,-34.6118,UMC,76.833,6629.61182873506,100.0,0.827845479183642,99.06443786621091,10.5,4.99,8.266666666666666,16.0941907925267,8.35000038146973,4.07130836193664,19446034.0,41.1,13140.0,0.556309998035431,5.45431995391846,10.44225502,26.3,643628665302.155,44044811.0,106.07,1.12360659021161,95.41770247,21.782123219335,25.466666666666665,13.311833946835
18,ARG,Argentina,2018,-58.4173,-34.6118,UMC,76.9994,6562.60856678427,99.9895782470703,1.64644976638324,99.0038681030273,10.6,4.99,8.386666666666665,16.2585100979651,9.22000026702881,3.97577197057929,19952439.0,41.3,12430.0,0.494349986314774,4.87773990631104,9.66646481,26.8,524819742918.669,44494502.0,97.41,2.1012769363927,95.41770247,23.7195923321304,24.9,13.311833946835
19,ARG,Argentina,2019,-58.4173,-34.6118,UMC,77.2845,6562.60856678427,100.0,1.74552857496578,99.0038681030273,10.6,4.99,8.206666666666665,16.4208266190179,9.84000015258789,3.74065029063396,20429749.0,42.9,11260.0,0.457130014896393,4.72417020797729,9.5100708,27.3,452818426182.658,44938712.0,112.94,2.19160282132649,95.41770247,24.052388220108,24.9,13.311833946835
20,ARG,Argentina,2020,-58.4173,-34.6118,UMC,75.8921,6562.60856678427,100.0,1.30764466865839,99.0038681030273,10.9,4.99,8.063333333333333,16.580892611147,11.460000038147,4.346449351523901,19208592.0,42.3,9080.0,0.45327342369339696,4.72417020797729,7.4209716299999995,27.8,389591035520.675,45376763.0,109.82,1.8285686630972,95.41770247,23.3112183791703,24.5,13.311833946835
21,ATG,Antigua and Barbuda,2000,-61.8456,17.1175,HIC,74.6058,664.129351963013,97.6892623901367,1.91419459247328,98.9499969482422,7.0,2.6,5.483333333333333,172.743181818182,10.991,4.34170536924231,32683.01,60.387168141592916,10100.0,0.45,3.39525008201599,4.69438457,11.0,826370370.37037,76007.0,140.69,0.0,82.40930841,13.8907314449624,10.2,21.9761180428363
22,ATG,Antigua and Barbuda,2001,-61.8456,17.1175,HIC,75.0781,664.129351963013,97.7852554321289,1.91419459247328,98.9499969482422,8.9,2.6,5.952369999999999,175.481818181818,12.349,4.532974149096,33973.28,58.62831858407079,9850.0,0.45,3.39525008201599,5.43587589,11.333333333333334,800481481.481481,77212.0,143.73,0.0,82.80122949,12.8825244066071,10.1,22.007760355797743
23,ATG,Antigua and Barbuda,2002,-61.8456,17.1175,HIC,75.5357,664.129351963013,100.0,1.91419459247328,98.9499969482422,9.0,2.3,6.453143333333333,177.95,13.57,4.9809699570217,35234.1,58.27654867256637,9660.0,0.44,3.39525008201599,5.28793621,11.666666666666666,814381481.481481,78298.0,144.36,0.0,83.19315056,13.0460290245267,10.0,22.03940266875918
24,ATG,Antigua and Barbuda,2003,-61.8456,17.1175,HIC,75.4778,655.0702763674449,97.9568252563477,1.91419459247328,98.9499969482422,9.0,2.5,6.794176666666666,180.252272727273,14.75,5.16952246754827,36483.060000000005,61.09070796460176,10530.0,0.44,3.2686272008078427,5.58626556,12.0,856396296.296296,79311.0,150.31,0.0,83.58507164,13.2713740177401,9.9,22.071044981720622
25,ATG,Antigua and Barbuda,2004,-61.8456,17.1175,HIC,75.6721,646.0112007718766,98.0371017456055,1.91419459247328,98.9499969482422,9.1,2.4,6.8125133333333325,182.606818181818,13.915,4.97840623745086,36959.62,61.09070796460176,11450.0,0.43,3.1420043195996956,5.11667967,12.333333333333334,919729629.62963,80347.0,152.96,0.0,83.97699271,13.0533530385339,9.8,22.10268729468206
26,ATG,Antigua and Barbuda,2005,-61.8456,17.1175,HIC,75.8254,636.9521251763084,92.1999969482422,1.91419459247328,98.9499969482422,9.1,2.4,6.769503333333333,185.140909090909,12.424,5.03302148761043,38287.14,58.62831858407079,12420.0,0.43,3.0153814383915485,4.9945569,12.666666666666666,1022962962.96296,81462.0,135.93,0.0,84.36891379,14.5184648805214,9.7,22.1343296076435
