id_pais,year, acceso_electricidad
VEN,2020,100.0
VEN,2019,99.9768142700195
VEN,2018,99.9112014770508
VEN,2017,99.1999969482422
VEN,2016,99.4000015258789
VEN,2015,100.0
VEN,2014,100.0
VEN,2013,99.2572174072266
VEN,2012,99.2080764770508
VEN,2011,98.8399963378906
VEN,2010,99.0549468994141
VEN,2009,98.949104309082
VEN,2008,98.9136734008789
VEN,2007,98.8881759643555
VEN,2006,99.3000030517578
VEN,2005,98.8561630249023
VEN,2004,99.0999984741211
VEN,2003,95.6999969482422
VEN,2002,99.8000030517578
VEN,2001,99.9000015258789
VEN,2000,98.9000015258789
URY,2020,100.0
URY,2019,99.9000015258789
URY,2018,99.8000030517578
URY,2017,99.8000030517578
URY,2016,99.6999969482422
URY,2015,99.7094802856445
URY,2014,99.6570816040039
URY,2013,99.6118087768555
URY,2012,99.5999984741211
URY,2011,99.1699981689453
URY,2010,99.3000030517578
URY,2009,99.0999984741211
URY,2008,98.7843551635742
URY,2007,98.6926345825195
URY,2006,98.5054244995117
URY,2005,98.1671447753906
URY,2004,98.0748596191406
URY,2003,97.9820404052734
URY,2002,97.8863296508789
URY,2001,97.7853927612305
URY,2000,97.6768646240234
USA,2020,100.0
USA,2019,100.0
USA,2018,100.0
USA,2017,100.0
USA,2016,100.0
USA,2015,100.0
USA,2014,100.0
USA,2013,100.0
USA,2012,100.0
USA,2011,100.0
USA,2010,100.0
USA,2009,100.0
USA,2008,100.0
USA,2007,100.0
USA,2006,100.0
USA,2005,100.0
USA,2004,100.0
USA,2003,100.0
USA,2002,100.0
USA,2001,100.0
USA,2000,100.0
TTO,2020,100.0
TTO,2019,100.0
TTO,2018,100.0
TTO,2017,100.0
TTO,2016,100.0
TTO,2015,100.0
TTO,2014,100.0
TTO,2013,100.0
TTO,2012,100.0
TTO,2011,100.0
TTO,2010,100.0
TTO,2009,99.0
TTO,2008,100.0
TTO,2007,100.0
TTO,2006,100.0
TTO,2005,97.6744766235352
TTO,2004,97.4920196533203
TTO,2003,97.3090209960938
TTO,2002,97.1231460571289
TTO,2001,96.9320220947266
TTO,2000,91.2900009155273
BHS,2020,100.0
BHS,2019,100.0
BHS,2018,100.0
BHS,2017,100.0
BHS,2016,100.0
BHS,2015,100.0
BHS,2014,100.0
BHS,2013,100.0
BHS,2012,100.0
BHS,2011,100.0
BHS,2010,100.0
BHS,2009,100.0
BHS,2008,100.0
BHS,2007,100.0
BHS,2006,100.0
BHS,2005,100.0
BHS,2004,100.0
BHS,2003,100.0
BHS,2002,100.0
BHS,2001,100.0
BHS,2000,100.0
SUR,2020,98.2047729492188
SUR,2019,97.8254165649414
SUR,2018,97.4000015258789
SUR,2017,96.6963348388672
SUR,2016,95.8163146972656
SUR,2015,94.8952331542969
SUR,2014,94.3376312255859
SUR,2013,94.3435821533203
SUR,2012,94.3673400878906
SUR,2011,94.4109344482422
SUR,2010,91.1975173950195
