id_pais,year,alfabetizacion
VEN,2020,97.1270904541016
VEN,2019,97.1270904541016
VEN,2018,97.1270904541016
VEN,2017,97.1270904541016
VEN,2016,97.1270904541016
VEN,2015,96.6052169799805
VEN,2014,96.14646720886232
VEN,2013,95.68771743774414
VEN,2012,95.22896766662598
VEN,2011,94.7702178955078
VEN,2010,95.14110565185544
VEN,2009,95.5119934082031
VEN,2008,95.3333168029785
VEN,2007,95.1546401977539
VEN,2006,94.79217147827148
VEN,2005,94.42970275878908
VEN,2004,94.06723403930665
VEN,2003,93.70476531982423
VEN,2002,93.34229660034183
VEN,2001,92.9798278808594
VEN,2000,92.9798278808594
URY,2020,98.7703475952148
URY,2019,98.7703475952148
URY,2018,98.703857421875
URY,2017,98.61572265625
URY,2016,98.5614700317383
URY,2015,98.5238723754883
URY,2014,98.4359283447266
URY,2013,98.3638687133789
URY,2012,98.3959426879883
URY,2011,98.3358993530273
URY,2010,98.0727081298828
URY,2009,98.2672271728516
URY,2008,98.1635589599609
URY,2007,97.8638916015625
URY,2006,97.7896270751953
URY,2005,97.7896270751953
URY,2004,97.7896270751953
URY,2003,97.7896270751953
URY,2002,97.7896270751953
URY,2001,97.7896270751953
URY,2000,97.7896270751953
USA,2020,99.0
USA,2019,99.0
USA,2018,99.0
USA,2017,99.0
USA,2016,99.0
USA,2015,99.0
USA,2014,99.0
USA,2013,99.0
USA,2012,99.0
USA,2011,99.0
USA,2010,99.0
USA,2009,99.0
USA,2008,99.0
USA,2007,99.0
USA,2006,99.0
USA,2005,99.0
USA,2004,99.0
USA,2003,99.0
USA,2002,99.0
USA,2001,99.0
USA,2000,99.0
TTO,2020,98.6999969482422
TTO,2019,98.6999969482422
TTO,2018,98.6999969482422
TTO,2017,98.6999969482422
TTO,2016,98.6999969482422
TTO,2015,98.6999969482422
TTO,2014,98.6999969482422
TTO,2013,98.6999969482422
TTO,2012,98.6999969482422
TTO,2011,98.6999969482422
TTO,2010,98.6999969482422
TTO,2009,98.61999740600587
TTO,2008,98.53999786376954
TTO,2007,98.45999832153322
TTO,2006,98.37999877929688
TTO,2005,98.29999923706055
TTO,2004,98.21999969482422
TTO,2003,98.1400001525879
TTO,2002,98.06000061035157
TTO,2001,97.98000106811523
TTO,2000,97.9000015258789
BHS,2020,95.6
BHS,2019,95.6
BHS,2018,95.6
BHS,2017,95.6
BHS,2016,95.6
BHS,2015,95.6
BHS,2014,95.6
BHS,2013,95.6
BHS,2012,95.6
BHS,2011,95.6
BHS,2010,95.6
BHS,2009,95.6
BHS,2008,95.6
BHS,2007,95.6
BHS,2006,95.6
BHS,2005,95.6
BHS,2004,95.6
BHS,2003,95.6
BHS,2002,95.6
BHS,2001,95.6
BHS,2000,95.6
SUR,2020,94.3832702636719
SUR,2019,94.3832702636719
SUR,2018,94.3832702636719
SUR,2017,94.13083521525067
SUR,2016,93.87840016682944
SUR,2015,93.6259651184082
SUR,2014,93.37353006998697
SUR,2013,93.12109502156574
SUR,2012,92.8686599731445
SUR,2011,93.7722053527832
SUR,2010,94.6757507324219
SUR,2009,94.64834594726565
SUR,2008,94.6209411621094
SUR,2007,93.3652210235596
SUR,2006,92.1095008850098
SUR,2005,90.85378074646
SUR,2004,89.5980606079102
SUR,2003,89.5980606079102
SUR,2002,89.5980606079102
SUR,2001,89.5980606079102
SUR,2000,89.5980606079102
VCT,2020,93.0
VCT,2019,93.0
VCT,2018,93.0
VCT,2017,93.0
VCT,2016,93.0
VCT,2015,93.0
VCT,2014,93.0
VCT,2013,93.0
VCT,2012,93.0
VCT,2011,93.0
VCT,2010,93.0
VCT,2009,93.0
VCT,2008,93.0
VCT,2007,93.0
VCT,2006,93.0
VCT,2005,93.0
VCT,2004,93.0
VCT,2003,93.0
VCT,2002,93.0
VCT,2001,93.0
VCT,2000,93.0
LCA,2020,90.1
LCA,2019,90.1
LCA,2018,90.1
LCA,2017,90.1
LCA,2016,90.1
LCA,2015,90.1
LCA,2014,90.1
LCA,2013,90.1
LCA,2012,90.1
LCA,2011,90.1
LCA,2010,90.1
LCA,2009,90.1
LCA,2008,90.1
LCA,2007,90.1
LCA,2006,90.1
LCA,2005,90.1
LCA,2004,90.1
LCA,2003,90.1
LCA,2002,90.1
LCA,2001,90.1
LCA,2000,90.1
KNA,2020,97.8
KNA,2019,97.8
KNA,2018,97.8
KNA,2017,97.8
KNA,2016,97.8
KNA,2015,97.8
KNA,2014,97.8
KNA,2013,97.8
KNA,2012,97.8
KNA,2011,97.8
KNA,2010,97.8
KNA,2009,97.8
KNA,2008,97.8
KNA,2007,97.8
KNA,2006,97.8
KNA,2005,97.8
KNA,2004,97.8
KNA,2003,97.8
KNA,2002,97.8
KNA,2001,97.8
KNA,2000,97.8
PER,2020,94.497932434082
PER,2019,94.4531021118164
PER,2018,94.4082717895508
PER,2017,94.1496124267578
PER,2016,94.1736679077148
PER,2015,94.1623382568359
PER,2014,93.7079467773438
PER,2013,93.77483749389651
PER,2012,93.8417282104492
PER,2011,92.99154510498046
PER,2010,92.14136199951172
PER,2009,91.29117889404299
PER,2008,90.44099578857424
PER,2007,89.5908126831055
PER,2006,88.6993408203125
PER,2005,87.9086685180664
PER,2004,87.6698532104492
PER,2003,87.6698532104492
PER,2002,87.6698532104492
PER,2001,87.6698532104492
PER,2000,87.6698532104492
PRY,2020,94.544548034668
PRY,2019,93.2135314941406
PRY,2018,94.0207977294922
PRY,2017,94.33551788330081
PRY,2016,94.6502380371094
PRY,2015,95.5548400878906
PRY,2014,95.0348129272461
PRY,2013,95.0590362548828
PRY,2012,94.1974716186523
PRY,2011,94.03419494628905
PRY,2010,93.8709182739258
PRY,2009,93.7542419433594
PRY,2008,93.2920837402344
