id_pais,year,anios_escolares
ATG,2000,7.0
ARG,2000,8.9
BHS,2000,10.9
BRB,2000,8.7
BLZ,2000,6.9
BOL,2000,7.4
BRA,2000,5.4
CAN,2000,10.9
CHL,2000,8.7
COL,2000,6.4
CRI,2000,7.9
CUB,2000,9.6
DMA,2000,7.8
DOM,2000,6.3
ECU,2000,6.9
SLV,2000,5.0
GRD,2000,7.3
GTM,2000,3.6
GUY,2000,7.6
HTI,2000,3.6
HND,2000,4.2
JAM,2000,7.2
MEX,2000,6.6
NIC,2000,5.0
PAN,2000,8.4
PRY,2000,5.9
PER,2000,7.8
KNA,2000,7.0
LCA,2000,7.0
VCT,2000,7.5
SUR,2000,7.5
TTO,2000,9.0
USA,2000,12.7
URY,2000,7.9
VEN,2000,6.2
ATG,2001,8.9
ARG,2001,9.1
BHS,2001,10.9
BRB,2001,9.0
BLZ,2001,7.1
BOL,2001,7.4
BRA,2001,5.6
CAN,2001,11.0
CHL,2001,8.8
COL,2001,6.5
CRI,2001,8.0
CUB,2001,9.6
DMA,2001,7.8
DOM,2001,6.4
ECU,2001,7.0
SLV,2001,5.2
GRD,2001,7.3
GTM,2001,3.7
GUY,2001,7.7
HTI,2001,3.8
HND,2001,4.3
JAM,2001,7.3
MEX,2001,6.7
NIC,2001,5.1
PAN,2001,8.5
PRY,2001,5.9
PER,2001,8.0
KNA,2001,7.0
LCA,2001,7.0
VCT,2001,7.5
SUR,2001,7.5
TTO,2001,9.2
USA,2001,12.7
URY,2001,8.0
VEN,2001,6.4
ATG,2002,9.0
ARG,2002,9.1
BHS,2002,10.9
BRB,2002,9.0
BLZ,2002,7.2
BOL,2002,7.3
BRA,2002,5.8
CAN,2002,11.2
CHL,2002,9.0
COL,2002,6.5
CRI,2002,8.0
CUB,2002,9.7
DMA,2002,7.8
DOM,2002,6.5
ECU,2002,7.0
SLV,2002,5.3
GRD,2002,7.4
GTM,2002,3.8
GUY,2002,7.8
HTI,2002,3.9
HND,2002,4.4
JAM,2002,7.5
MEX,2002,6.8
NIC,2002,5.2
PAN,2002,8.6
PRY,2002,6.2
PER,2002,8.1
KNA,2002,7.1
LCA,2002,7.1
VCT,2002,7.6
SUR,2002,7.6
TTO,2002,9.3
USA,2002,12.7
URY,2002,8.0
VEN,2002,6.4
ATG,2003,9.0
ARG,2003,9.2
BHS,2003,10.9
BRB,2003,9.1
BLZ,2003,7.3
BOL,2003,7.2
BRA,2003,6.0
CAN,2003,11.5
CHL,2003,9.2
COL,2003,6.5
CRI,2003,8.0
CUB,2003,9.5
DMA,2003,7.8
DOM,2003,6.7
ECU,2003,7.1
SLV,2003,5.5
GRD,2003,7.4
GTM,2003,3.8
GUY,2003,7.8
HTI,2003,4.0
HND,2003,4.5
JAM,2003,7.7
MEX,2003,7.0
NIC,2003,5.2
PAN,2003,8.7
PRY,2003,6.5
PER,2003,8.3
KNA,2003,7.1
LCA,2003,7.2
VCT,2003,7.7
SUR,2003,7.6
TTO,2003,9.4
USA,2003,12.7
URY,2003,8.0
VEN,2003,6.8
ATG,2004,9.1
ARG,2004,9.3
BHS,2004,10.9
BRB,2004,9.1
BLZ,2004,7.4
BOL,2004,7.1
BRA,2004,6.2
CAN,2004,11.7
CHL,2004,9.4
COL,2004,6.5
CRI,2004,7.9
CUB,2004,9.8
DMA,2004,7.8
DOM,2004,6.8
ECU,2004,7.1
SLV,2004,5.7
GRD,2004,7.6
GTM,2004,3.7
GUY,2004,7.8
HTI,2004,4.1
HND,2004,4.6
JAM,2004,7.8
MEX,2004,7.1
NIC,2004,5.3
PAN,2004,8.8
PRY,2004,7.0
PER,2004,8.4
KNA,2004,7.1
LCA,2004,7.3
VCT,2004,7.8
SUR,2004,7.7
TTO,2004,9.5
USA,2004,12.8
URY,2004,8.0
VEN,2004,7.0
ATG,2005,9.1
ARG,2005,9.2
BHS,2005,10.9
BRB,2005,9.2
BLZ,2005,7.5
BOL,2005,7.1
BRA,2005,6.2
CAN,2005,12.0
CHL,2005,9.6
COL,2005,6.6
CRI,2005,7.9
CUB,2005,9.8
DMA,2005,7.8
DOM,2005,6.9
ECU,2005,7.2
SLV,2005,5.8
GRD,2005,7.7
GTM,2005,3.6
GUY,2005,7.9
HTI,2005,4.2
HND,2005,4.6
JAM,2005,8.0
MEX,2005,7.4
NIC,2005,5.4
PAN,2005,8.9
PRY,2005,7.1
PER,2005,8.6
KNA,2005,7.2
LCA,2005,7.4
VCT,2005,7.8
SUR,2005,7.7
TTO,2005,9.8
USA,2005,12.8
URY,2005,8.0
VEN,2005,7.2
ATG,2006,9.1
ARG,2006,9.1
BHS,2006,10.9
BRB,2006,9.2
BLZ,2006,7.6
BOL,2006,7.0
BRA,2006,6.3
CAN,2006,12.2
CHL,2006,9.5
COL,2006,6.8
CRI,2006,7.9
CUB,2006,9.9
DMA,2006,7.8
DOM,2006,7.0
ECU,2006,7.3
SLV,2006,6.0
GRD,2006,7.8
GTM,2006,3.5
GUY,2006,7.9
HTI,2006,4.3
HND,2006,4.7
JAM,2006,8.1
MEX,2006,7.6
NIC,2006,5.5
PAN,2006,9.0
PRY,2006,7.3
PER,2006,8.7
KNA,2006,7.2
LCA,2006,7.5
VCT,2006,7.9
SUR,2006,7.7
TTO,2006,10.0
USA,2006,12.8
URY,2006,8.0
VEN,2006,7.4
ATG,2007,9.2
ARG,2007,10.3
BHS,2007,11.1
BRB,2007,9.2
BLZ,2007,7.9
BOL,2007,7.3
BRA,2007,6.4
CAN,2007,12.3
CHL,2007,9.5
COL,2007,6.7
CRI,2007,7.9
CUB,2007,10.1
DMA,2007,7.8
DOM,2007,7.1
ECU,2007,7.3
SLV,2007,6.4
GRD,2007,7.9
GTM,2007,3.7
GUY,2007,7.9
HTI,2007,4.4
HND,2007,4.8
JAM,2007,8.3
