id_pais,year,camas_hospitales
VEN,2020,0.87
VEN,2019,0.87
VEN,2018,0.87
VEN,2017,0.87
VEN,2016,0.86
VEN,2015,0.73
VEN,2014,0.78
VEN,2013,0.8300000000000001
VEN,2012,0.88
VEN,2011,0.93
VEN,2010,1.0150000000000001
VEN,2009,1.1
VEN,2008,1.2000000000000002
VEN,2007,1.3
VEN,2006,1.2
VEN,2005,1.1
VEN,2004,1.0
VEN,2003,0.9
VEN,2002,0.85000000595
VEN,2001,0.8000000119
VEN,2000,0.8000000119
URY,2020,2.43
URY,2019,2.43
URY,2018,2.43
URY,2017,2.43
URY,2016,2.48
URY,2015,2.43
URY,2014,2.42
URY,2013,2.49
URY,2012,2.5
URY,2011,2.98
URY,2010,1.2
URY,2009,1.7666666666666666
URY,2008,2.333333333333333
URY,2007,2.9
URY,2006,2.9
URY,2005,2.4
URY,2004,2.1499999881
URY,2003,1.8999999762
URY,2002,1.8999999762
URY,2001,1.8999999762
URY,2000,1.8999999762
USA,2020,2.87
USA,2019,2.87
USA,2018,2.87
USA,2017,2.87
USA,2016,2.77
USA,2015,2.8
USA,2014,2.83
USA,2013,2.89
USA,2012,2.93
USA,2011,2.97
USA,2010,3.05
USA,2009,3.08
USA,2008,3.13
USA,2007,3.14
USA,2006,3.18
USA,2005,3.2
USA,2004,3.26
USA,2003,3.33
USA,2002,3.39
USA,2001,3.47
USA,2000,3.49
TTO,2020,3.02
TTO,2019,3.02
TTO,2018,3.02
TTO,2017,3.02
TTO,2016,3.03
TTO,2015,3.01
TTO,2014,2.99
TTO,2013,2.7
TTO,2012,2.72
TTO,2011,2.43
TTO,2010,2.14
TTO,2009,2.6
TTO,2008,2.5
TTO,2007,2.7
TTO,2006,2.7
TTO,2005,2.6
TTO,2004,2.95
TTO,2003,3.3
TTO,2002,3.3500000477
TTO,2001,3.4000000954
TTO,2000,3.3
BHS,2020,2.96
BHS,2019,2.96
BHS,2018,2.96
BHS,2017,2.96
BHS,2016,2.895
BHS,2015,2.83
BHS,2014,2.76
BHS,2013,2.85
BHS,2012,2.86
BHS,2011,2.9
BHS,2010,2.92
BHS,2009,3.2
BHS,2008,3.2
BHS,2007,3.2
BHS,2006,3.2
BHS,2005,3.3
BHS,2004,3.4
BHS,2003,3.4
BHS,2002,3.4000000954
BHS,2001,3.4
BHS,2000,3.5
SUR,2020,3.0
SUR,2019,3.0
SUR,2018,3.0
SUR,2017,3.0
SUR,2016,3.025
SUR,2015,3.05
SUR,2014,3.06
SUR,2013,3.07
SUR,2012,3.08
SUR,2011,3.09
SUR,2010,3.1
SUR,2009,2.6
SUR,2008,2.85
SUR,2007,3.1
SUR,2006,3.3
SUR,2005,3.2
SUR,2004,3.1
SUR,2003,3.2666666348666666
SUR,2002,3.4333332697333336
SUR,2001,3.5999999046
SUR,2000,3.9
VCT,2020,4.32
VCT,2019,4.32
VCT,2018,4.32
VCT,2017,4.32
VCT,2016,4.32
VCT,2015,4.33
VCT,2014,2.4
VCT,2013,2.41
VCT,2012,2.41
VCT,2011,2.52
VCT,2010,2.6
VCT,2009,2.7333333333333334
VCT,2008,2.8666666666666667
VCT,2007,3.0
VCT,2006,3.75
VCT,2005,4.5
VCT,2004,4.5
VCT,2003,4.5
VCT,2002,4.5
VCT,2001,4.7
VCT,2000,4.7
LCA,2020,1.3
LCA,2019,1.3
LCA,2018,1.3
LCA,2017,1.3
LCA,2016,1.355
LCA,2015,1.41
LCA,2014,1.305
LCA,2013,1.2
LCA,2012,1.33
LCA,2011,1.46
LCA,2010,1.48
LCA,2009,1.5
LCA,2008,2.15
LCA,2007,2.8
LCA,2006,2.9
LCA,2005,3.0
LCA,2004,2.95
LCA,2003,2.9
LCA,2002,3.2000000477
LCA,2001,2.75000002385
LCA,2000,2.3
KNA,2020,2.3
KNA,2019,2.3
KNA,2018,2.3
KNA,2017,2.3
KNA,2016,2.3
KNA,2015,2.3
KNA,2014,2.3
KNA,2013,2.3
KNA,2012,2.3
KNA,2011,4.8
KNA,2010,4.8
KNA,2009,6.0
KNA,2008,5.5
KNA,2007,5.566666666666666
KNA,2006,5.633333333333334
KNA,2005,5.7
KNA,2004,6.0
KNA,2003,5.5
KNA,2002,5.5
KNA,2001,4.3
KNA,2000,4.3
PER,2020,1.59
PER,2019,1.59
PER,2018,1.59
PER,2017,1.59
PER,2016,1.59
PER,2015,1.55
PER,2014,1.56
PER,2013,1.51
PER,2012,1.52
PER,2011,1.53
PER,2010,1.5
PER,2009,1.6
PER,2008,1.5
PER,2007,1.2
PER,2006,1.1
PER,2005,1.0
PER,2004,0.9
PER,2003,1.3999999762
PER,2002,1.3999999762
PER,2001,1.3999999762
PER,2000,1.3999999762
PRY,2020,0.83
PRY,2019,0.83
PRY,2018,0.83
PRY,2017,0.83
PRY,2016,0.83
PRY,2015,0.78
PRY,2014,0.83
PRY,2013,1.0066666666666666
PRY,2012,1.1833333333333333
PRY,2011,1.36
PRY,2010,1.3
PRY,2009,1.3
PRY,2008,1.3
PRY,2007,1.3
PRY,2006,1.3
PRY,2005,1.2
PRY,2004,1.2000000159
PRY,2003,1.2000000318
PRY,2002,1.2000000477
PRY,2001,1.2000000477
PRY,2000,1.2000000477
PAN,2020,2.25
PAN,2019,2.25
PAN,2018,2.25
PAN,2017,2.25
PAN,2016,2.25
PAN,2015,2.29
PAN,2014,2.24
PAN,2013,2.3
PAN,2012,2.33
PAN,2011,2.27
PAN,2010,2.3
PAN,2009,2.3
PAN,2008,2.3
PAN,2007,2.3
PAN,2006,2.3
PAN,2005,2.2
PAN,2004,2.4
PAN,2003,2.45
PAN,2002,2.5
PAN,2001,2.5
PAN,2000,2.5
NIC,2020,0.93
NIC,2019,0.93
NIC,2018,0.93
NIC,2017,0.93
NIC,2016,0.93
NIC,2015,0.93
NIC,2014,0.93
NIC,2013,0.95
NIC,2012,0.96
NIC,2011,1.14
NIC,2010,0.8
NIC,2009,0.8500000000000001
NIC,2008,0.9
NIC,2007,0.9
NIC,2006,1.0
NIC,2005,0.9
NIC,2004,0.9
NIC,2003,0.8999999762
NIC,2002,0.8999999762
NIC,2001,0.8999999762
NIC,2000,0.8999999762
MEX,2020,0.98
MEX,2019,0.98
MEX,2018,0.98
MEX,2017,0.99
MEX,2016,1.0
MEX,2015,1.0
MEX,2014,1.03
MEX,2013,1.03
MEX,2012,1.03
MEX,2011,1.04
MEX,2010,1.05
MEX,2009,1.02
MEX,2008,1.03
MEX,2007,1.06
MEX,2006,1.02
MEX,2005,1.05
MEX,2004,1.07
MEX,2003,1.06
MEX,2002,1.09
MEX,2001,1.08
MEX,2000,1.05
JAM,2020,1.72
JAM,2019,1.72
JAM,2018,1.72
JAM,2017,1.72
JAM,2016,1.78
JAM,2015,1.69
JAM,2014,1.6749999999999998
JAM,2013,1.66
JAM,2012,1.67
JAM,2011,1.7149999999999999
JAM,2010,1.76
JAM,2009,1.7
JAM,2008,1.7
JAM,2007,1.7
JAM,2006,2.0
JAM,2005,1.7
JAM,2004,1.8
JAM,2003,1.3999999762
JAM,2002,1.5
JAM,2001,1.5
JAM,2000,1.5
HND,2020,0.64
HND,2019,0.64
HND,2018,0.64
HND,2017,0.64
HND,2016,0.64
HND,2015,0.66
HND,2014,0.63
HND,2013,0.65
HND,2012,0.62
HND,2011,0.62
HND,2010,0.8
HND,2009,0.8
HND,2008,0.7
HND,2007,0.75
HND,2006,0.7999999999999999
HND,2005,0.85
HND,2004,0.9
HND,2003,0.95
HND,2002,1.0
HND,2001,1.0
HND,2000,1.0
HTI,2020,0.71
HTI,2019,0.71
HTI,2018,0.71
HTI,2017,0.71
HTI,2016,0.71
HTI,2015,0.71
HTI,2014,0.71
HTI,2013,0.71
HTI,2012,0.8083333333333333
HTI,2011,0.9066666666666666
HTI,2010,1.005
HTI,2009,1.1033333333333333
HTI,2008,1.2016666666666667
HTI,2007,1.3
HTI,2006,1.2142857142857144
HTI,2005,1.1285714285714286
