Year,Country,Alcohol_pc
2000,ARG,9.556666666666667
2001,ARG,8.698796666666667
2002,ARG,8.216686666666666
2003,ARG,7.749493333333334
2004,ARG,7.729806666666666
2005,ARG,7.683879999999999
2006,ARG,7.614406666666667
2007,ARG,7.675296666666667
2008,ARG,7.853333333333334
2009,ARG,8.126666666666667
2010,ARG,8.306666666666667
2011,ARG,8.303333333333333
2012,ARG,8.06
2013,ARG,7.946666666666666
2014,ARG,7.986666666666667
2015,ARG,8.066666666666665
2016,ARG,8.229999999999999
2017,ARG,8.266666666666666
2018,ARG,8.386666666666665
2019,ARG,8.206666666666665
2020,ARG,8.063333333333333
2000,ATG,5.483333333333333
2001,ATG,5.952369999999999
2002,ATG,6.453143333333333
2003,ATG,6.794176666666666
2004,ATG,6.8125133333333325
2005,ATG,6.769503333333333
2006,ATG,7.023533333333333
2007,ATG,7.284566666666667
2008,ATG,7.745873333333333
2009,ATG,8.06972
2010,ATG,8.05026
2011,ATG,7.734523333333333
2012,ATG,7.3456133333333336
2013,ATG,7.54
2014,ATG,8.296666666666667
2015,ATG,9.103333333333333
2016,ATG,9.383333333333333
2017,ATG,9.49
2018,ATG,9.863333333333333
2019,ATG,10.603333333333333
2020,ATG,11.313333333333333
2000,BHS,9.566666666666665
2001,BHS,10.119213333333335
2002,BHS,10.652013333333334
2003,BHS,11.416643333333333
2004,BHS,10.970596666666665
2005,BHS,10.380469999999999
2006,BHS,10.009556666666667
2007,BHS,9.754533333333333
2008,BHS,9.8598
2009,BHS,9.798666666666666
2010,BHS,9.441813333333334
2011,BHS,9.203873333333334
2012,BHS,9.064623333333333
2013,BHS,9.270000000000001
2014,BHS,9.276666666666666
2015,BHS,9.273333333333333
2016,BHS,9.24
2017,BHS,9.263333333333334
2018,BHS,9.296666666666667
2019,BHS,9.306666666666667
2020,BHS,9.366666666666667
2000,BLZ,5.196666666666666
2001,BLZ,5.043003333333334
2002,BLZ,4.890876666666667
2003,BLZ,4.796683333333334
2004,BLZ,5.10811
2005,BLZ,5.53958
2006,BLZ,5.934953333333333
2007,BLZ,6.1518533333333325
2008,BLZ,6.458469999999999
2009,BLZ,6.741466666666668
2010,BLZ,6.79427
2011,BLZ,6.621643333333334
2012,BLZ,6.417466666666667
2013,BLZ,6.386666666666667
2014,BLZ,6.43
2015,BLZ,6.56
2016,BLZ,6.68
2017,BLZ,6.646666666666667
2018,BLZ,6.433333333333334
2019,BLZ,6.18
2020,BLZ,5.989999999999999
2000,BOL,3.3066666666666666
2001,BOL,3.04593
2002,BOL,2.719803333333333
2003,BOL,2.2435566666666666
2004,BOL,2.2522066666666665
2005,BOL,2.39147
2006,BOL,2.5779599999999996
2007,BOL,2.8479000000000005
2008,BOL,3.105173333333333
2009,BOL,3.3425933333333333
2010,BOL,3.5102999999999995
2011,BOL,3.5065566666666665
2012,BOL,3.43556
2013,BOL,3.3033333333333332
2014,BOL,3.25
2015,BOL,3.2066666666666666
2016,BOL,3.1766666666666663
2017,BOL,3.146666666666667
2018,BOL,3.106666666666667
2019,BOL,3.0566666666666666
2020,BOL,3.01
2000,BRA,5.840000000000001
2001,BRA,6.333393333333333
2002,BRA,6.811776666666667
2003,BRA,7.164983333333333
2004,BRA,7.010833333333333
2005,BRA,6.853000000000001
2006,BRA,6.767246666666668
2007,BRA,6.797583333333333
2008,BRA,6.868346666666667
2009,BRA,6.89153
2010,BRA,6.898326666666667
2011,BRA,6.980346666666667
2012,BRA,7.0797099999999995
2013,BRA,7.136666666666667
2014,BRA,7.036666666666666
2015,BRA,6.963333333333334
2016,BRA,6.8
2017,BRA,6.636666666666667
2018,BRA,6.416666666666667
2019,BRA,6.2700000000000005
2020,BRA,6.1866666666666665
2000,BRB,6.003333333333333
2001,BRB,6.48019
2002,BRB,7.1224300000000005
2003,BRB,7.43852
2004,BRB,7.506426666666667
2005,BRB,7.511113333333333
2006,BRB,7.593743333333333
2007,BRB,7.795460000000001
2008,BRB,8.007236666666666
2009,BRB,8.27284
2010,BRB,8.313816666666666
2011,BRB,8.51178
2012,BRB,8.530789999999998
2013,BRB,8.75
2014,BRB,8.88
2015,BRB,9.073333333333334
2016,BRB,9.333333333333334
2017,BRB,9.723333333333334
2018,BRB,9.976666666666667
2019,BRB,10.08
2020,BRB,9.986666666666666
2000,CAN,7.333333333333333
2001,CAN,7.5956
2002,CAN,7.824533333333332
2003,CAN,7.986799999999999
2004,CAN,7.986799999999999
2005,CAN,7.986799999999999
2006,CAN,7.991199999999999
