id_pais,year,gini
VEN,2020,44.8
VEN,2019,44.8
VEN,2018,44.8
VEN,2017,44.8
VEN,2016,44.8
VEN,2015,44.8
VEN,2014,44.8
VEN,2013,44.8
VEN,2012,44.8
VEN,2011,44.8
VEN,2010,44.8
VEN,2009,44.8
VEN,2008,44.8
VEN,2007,44.8
VEN,2006,44.8
VEN,2005,49.5
VEN,2004,47.5
VEN,2003,48.1
VEN,2002,49.0
VEN,2001,47.2
VEN,2000,47.2
URY,2020,40.2
URY,2019,39.7
URY,2018,39.7
URY,2017,39.5
URY,2016,39.7
URY,2015,40.1
URY,2014,40.1
URY,2013,40.5
URY,2012,39.9
URY,2011,42.2
URY,2010,44.5
URY,2009,45.5
URY,2008,45.1
URY,2007,46.4
URY,2006,45.9
URY,2005,45.9
URY,2004,45.9
URY,2003,45.9
URY,2002,45.9
URY,2001,45.9
URY,2000,45.9
USA,2020,41.5
USA,2019,41.5
USA,2018,41.4
USA,2017,41.2
USA,2016,41.1
USA,2015,41.2
USA,2014,41.5
USA,2013,40.7
USA,2012,40.9
USA,2011,40.9
USA,2010,40.0
USA,2009,40.6
USA,2008,40.8
USA,2007,40.8
USA,2006,41.4
USA,2005,41.0
USA,2004,40.3
USA,2003,40.8
USA,2002,40.4
USA,2001,40.6
USA,2000,40.1
TTO,2020,38.2492
TTO,2019,38.2492
TTO,2018,38.2492
TTO,2017,38.2492
TTO,2016,38.2492
TTO,2015,38.2492
TTO,2014,38.2492
TTO,2013,38.2492
TTO,2012,38.2492
TTO,2011,38.2492
TTO,2010,38.2492
TTO,2009,38.2492
TTO,2008,38.2492
TTO,2007,38.2492
TTO,2006,38.2492
TTO,2005,42.2596
TTO,2004,40.5523
TTO,2003,41.0656
TTO,2002,41.8354
TTO,2001,40.3
TTO,2000,40.3
BHS,2020,40.7
BHS,2019,40.7
BHS,2018,40.7
BHS,2017,40.7
BHS,2016,40.7
BHS,2015,40.7
BHS,2014,40.7
BHS,2013,40.7
BHS,2012,40.7
BHS,2011,40.7
BHS,2010,40.7
BHS,2009,40.7
BHS,2008,40.7
BHS,2007,40.7
BHS,2006,40.7
BHS,2005,40.7
BHS,2004,40.7
BHS,2003,40.7
BHS,2002,40.7
BHS,2001,40.7
BHS,2000,40.7
SUR,2020,54.9535
SUR,2019,54.9535
SUR,2018,54.9535
SUR,2017,54.9535
SUR,2016,54.9535
SUR,2015,54.9535
SUR,2014,54.9535
SUR,2013,54.9535
SUR,2012,54.9535
SUR,2011,54.9535
SUR,2010,54.9535
SUR,2009,54.9535
SUR,2008,54.9535
SUR,2007,54.9535
SUR,2006,54.9535
SUR,2005,60.7154
SUR,2004,58.2625
SUR,2003,59.0
SUR,2002,60.106
SUR,2001,57.9
SUR,2000,57.9
VCT,2020,51.2
VCT,2019,51.2
VCT,2018,51.2
VCT,2017,51.2
VCT,2016,51.2
VCT,2015,51.2
VCT,2014,51.2
VCT,2013,51.2
VCT,2012,51.2
VCT,2011,51.2
VCT,2010,51.2
VCT,2009,51.2
VCT,2008,51.2
VCT,2007,51.2
VCT,2006,51.2
VCT,2005,51.2
VCT,2004,51.2
VCT,2003,51.2
VCT,2002,51.2
VCT,2001,51.2
VCT,2000,51.2
LCA,2020,51.2
LCA,2019,51.2
LCA,2018,51.2
LCA,2017,51.2
LCA,2016,51.2
LCA,2015,51.2
LCA,2014,51.2
LCA,2013,51.2
LCA,2012,51.2
LCA,2011,51.2
LCA,2010,51.2
LCA,2009,51.2
LCA,2008,51.2
LCA,2007,51.2
LCA,2006,51.2
LCA,2005,51.2
LCA,2004,51.2
LCA,2003,51.2
LCA,2002,51.2
LCA,2001,51.2
LCA,2000,51.2
KNA,2020,51.2
KNA,2019,51.2
KNA,2018,51.2
KNA,2017,51.2
KNA,2016,51.2
KNA,2015,51.2
KNA,2014,51.2
KNA,2013,51.2
KNA,2012,51.2
KNA,2011,51.2
KNA,2010,51.2
KNA,2009,51.2
KNA,2008,51.2
KNA,2007,51.2
KNA,2006,51.2
KNA,2005,51.2
KNA,2004,51.2
KNA,2003,51.2
KNA,2002,51.2
KNA,2001,51.2
KNA,2000,51.2
PER,2020,43.8
PER,2019,41.6
PER,2018,42.4
PER,2017,43.3
PER,2016,43.6
PER,2015,43.4
PER,2014,43.1
PER,2013,43.9
PER,2012,44.4
PER,2011,44.7
PER,2010,45.5
PER,2009,47.0
PER,2008,47.5
PER,2007,50.0
PER,2006,50.3
PER,2005,50.5
PER,2004,49.9
PER,2003,53.1
PER,2002,53.6
PER,2001,51.3
PER,2000,49.1
PRY,2020,43.5
PRY,2019,45.7
PRY,2018,46.0
PRY,2017,48.5
PRY,2016,47.9
PRY,2015,47.6
PRY,2014,50.7
PRY,2013,47.9
PRY,2012,47.6
PRY,2011,52.3
PRY,2010,51.0
PRY,2009,49.1
PRY,2008,50.7
PRY,2007,53.0
PRY,2006,53.0
PRY,2005,51.4
PRY,2004,52.3
PRY,2003,54.9
PRY,2002,57.3
PRY,2001,54.6
PRY,2000,54.6
PAN,2020,49.8
PAN,2019,49.8
PAN,2018,49.2
PAN,2017,49.9
PAN,2016,50.4
PAN,2015,50.8
PAN,2014,50.5
PAN,2013,51.5
PAN,2012,51.7
PAN,2011,51.3
PAN,2010,51.6
PAN,2009,51.8
PAN,2008,52.7
PAN,2007,52.7
PAN,2006,54.6
PAN,2005,53.8
PAN,2004,54.8
PAN,2003,55.7
PAN,2002,56.1
PAN,2001,56.7
PAN,2000,56.6
NIC,2020,46.2
NIC,2019,46.2
NIC,2018,46.2
NIC,2017,46.2
NIC,2016,46.2
NIC,2015,46.2
NIC,2014,46.2
NIC,2013,45.74
NIC,2012,45.28
NIC,2011,44.82
NIC,2010,44.36
NIC,2009,43.9
NIC,2008,45.125
NIC,2007,46.349999999999994
NIC,2006,47.574999999999996
NIC,2005,48.8
NIC,2004,49.824999999999996
NIC,2003,50.849999999999994
NIC,2002,51.875
NIC,2001,52.9
NIC,2000,52.9
MEX,2020,45.4
MEX,2019,46.05
MEX,2018,46.7
MEX,2017,47.2
MEX,2016,47.7
MEX,2015,48.2
MEX,2014,48.7
MEX,2013,48.7
MEX,2012,48.7
MEX,2011,47.95
MEX,2010,47.2
MEX,2009,48.55
MEX,2008,49.9
MEX,2007,49.4
MEX,2006,48.9
MEX,2005,50.1
MEX,2004,50.0
MEX,2003,50.05
MEX,2002,50.1
MEX,2001,51.35
MEX,2000,52.6
JAM,2020,45.5
JAM,2019,45.5
JAM,2018,45.5
JAM,2017,45.5
JAM,2016,45.5
JAM,2015,45.5
JAM,2014,45.5
JAM,2013,45.5
JAM,2012,45.5
JAM,2011,45.5
JAM,2010,45.5
JAM,2009,45.5
JAM,2008,45.5
JAM,2007,45.5
JAM,2006,45.5
JAM,2005,45.5
JAM,2004,45.5
JAM,2003,46.9
JAM,2002,48.3
JAM,2001,48.3
JAM,2000,48.3
HND,2020,48.2
HND,2019,48.2
HND,2018,48.9
HND,2017,49.4
HND,2016,49.8
HND,2015,49.2
HND,2014,49.9
HND,2013,50.0
HND,2012,53.4
HND,2011,52.6
HND,2010,53.1
HND,2009,51.3
HND,2008,55.5
HND,2007,55.8
HND,2006,57.5
HND,2005,59.5
HND,2004,58.1
HND,2003,58.1
HND,2002,55.7
HND,2001,55.4
HND,2000,55.4
HTI,2020,41.1
HTI,2019,41.1
HTI,2018,41.1
HTI,2017,41.1
HTI,2016,41.1
HTI,2015,41.1
HTI,2014,41.1
HTI,2013,41.1
HTI,2012,41.1
HTI,2011,41.1
HTI,2010,41.1
HTI,2009,41.1
HTI,2008,41.1
HTI,2007,41.1
HTI,2006,41.1
HTI,2005,41.1
HTI,2004,41.1
HTI,2003,41.1
HTI,2002,41.1
HTI,2001,41.1
HTI,2000,41.1
GUY,2020,42.8048
GUY,2019,42.8048
GUY,2018,42.8048
GUY,2017,42.8048
GUY,2016,42.8048
GUY,2015,42.8048
GUY,2014,42.8048
GUY,2013,42.8048
GUY,2012,42.8048
GUY,2011,42.8048
GUY,2010,42.8048
GUY,2009,42.8048
