id_pais,year,salud
VEN,2020,
VEN,2019,5.36708355
VEN,2018,4.92647457
VEN,2017,4.66499233
VEN,2016,3.91797352
VEN,2015,4.34628868
VEN,2014,5.77645016
VEN,2013,5.59412289
VEN,2012,6.44814396
VEN,2011,7.17711306
VEN,2010,6.831038
VEN,2009,7.54578876
VEN,2008,6.40868998
VEN,2007,7.78345251
VEN,2006,8.09861088
VEN,2005,6.05509377
VEN,2004,6.7815671
VEN,2003,7.50704718
VEN,2002,7.71828222
VEN,2001,7.85063791
VEN,2000,7.33427334
URY,2020,8.341052535
URY,2019,9.34783173
URY,2018,9.01455498
URY,2017,8.82179165
URY,2016,8.67533779
URY,2015,8.29223633
URY,2014,8.07321835
URY,2013,8.11896133
URY,2012,8.0675621
URY,2011,7.94895601
URY,2010,7.91117096
URY,2009,7.9498806
URY,2008,8.12533188
URY,2007,7.49349833
URY,2006,7.74287415
URY,2005,7.75686073
URY,2004,8.30145359
URY,2003,9.61753464
URY,2002,9.68134212
URY,2001,9.79864407
URY,2000,9.21095848
USA,2020,12.98901081
USA,2019,16.76706314
USA,2018,16.68710518
USA,2017,16.80583572
USA,2016,16.84432411
USA,2015,16.52407265
USA,2014,16.25333214
USA,2013,16.06451797
USA,2012,16.17543411
USA,2011,16.1985054
USA,2010,16.25922203
USA,2009,16.23350334
USA,2008,15.2670145
USA,2007,14.93882084
USA,2006,14.71834183
USA,2005,14.60504532
USA,2004,14.59480953
USA,2003,14.49863911
USA,2002,13.98185062
USA,2001,13.16362572
USA,2000,12.48431969
TTO,2020,9.75219679
TTO,2019,7.02007389
TTO,2018,6.70954943
TTO,2017,6.99457884
TTO,2016,6.83270836
TTO,2015,6.07862949
TTO,2014,5.20177984
TTO,2013,5.02981281
TTO,2012,4.87719965
TTO,2011,4.72197914
TTO,2010,5.08042908
TTO,2009,5.48676443
TTO,2008,3.65757036
TTO,2007,4.1536026
TTO,2006,4.15432024
TTO,2005,4.43451166
TTO,2004,4.30805206
TTO,2003,4.18767166
TTO,2002,4.72302485
TTO,2001,4.0346489
TTO,2000,4.23492432
BHS,2020,4.992349625
BHS,2019,5.74977493
BHS,2018,5.92999935
BHS,2017,6.6088872
BHS,2016,5.62038803
BHS,2015,5.2271986
BHS,2014,5.57097006
BHS,2013,5.5913291
BHS,2012,5.31907082
BHS,2011,5.32418823
BHS,2010,5.25673914
BHS,2009,5.15085459
BHS,2008,4.8630805
BHS,2007,4.4963069
BHS,2006,4.30935764
BHS,2005,4.03196478
BHS,2004,4.04628181
BHS,2003,4.01998568
BHS,2002,3.81251955
BHS,2001,3.92440891
BHS,2000,3.80487037
SUR,2020,6.7709330350000005
SUR,2019,9.7369957
SUR,2018,7.8974061
SUR,2017,5.9441762
SUR,2016,6.35384083
SUR,2015,6.21926689
SUR,2014,4.84127617
SUR,2013,4.80475569
SUR,2012,4.58755207
SUR,2011,4.72143984
SUR,2010,5.03042459
SUR,2009,5.33047295
SUR,2008,5.08278036
SUR,2007,5.59070206
SUR,2006,6.27044153
SUR,2005,5.61497545
SUR,2004,5.84803867
SUR,2003,5.23449087
SUR,2002,5.70779514
SUR,2001,4.09541416
SUR,2000,6.28476238
VCT,2020,5.5188374499999995
VCT,2019,4.75291252
VCT,2018,4.51017952
VCT,2017,4.32440805
VCT,2016,4.16448689
VCT,2015,4.08409452
VCT,2014,4.35374546
VCT,2013,4.56956387
VCT,2012,4.68828583
VCT,2011,4.46511078
VCT,2010,4.55129242
VCT,2009,4.33336353
VCT,2008,4.08864832
VCT,2007,3.98138881
VCT,2006,3.84620976
VCT,2005,4.03522491
VCT,2004,4.07436132
VCT,2003,4.18275356
VCT,2002,4.30659676
VCT,2001,4.30074549
VCT,2000,4.29551268
LCA,2020,4.310060025
LCA,2019,4.32460737
LCA,2018,4.41556692
LCA,2017,4.65729332
LCA,2016,4.91194296
LCA,2015,4.5808239
LCA,2014,4.75532579
LCA,2013,5.14402056
LCA,2012,5.00246382
LCA,2011,5.14028311
LCA,2010,5.0379777
LCA,2009,5.23717833
LCA,2008,5.05127954
LCA,2007,5.52015734
LCA,2006,5.12402296
LCA,2005,4.8572278
LCA,2004,4.76429749
LCA,2003,5.23676491
LCA,2002,5.38443518
LCA,2001,5.11714458
LCA,2000,4.86163425
KNA,2020,5.12898135
KNA,2019,5.39632845
KNA,2018,5.21287775
KNA,2017,5.59630823
KNA,2016,5.63215637
KNA,2015,5.31301308
KNA,2014,4.94039154
KNA,2013,5.26012945
KNA,2012,5.17226887
KNA,2011,5.27746201
KNA,2010,5.34327459
KNA,2009,5.47526932
KNA,2008,5.49402666
KNA,2007,4.79733467
KNA,2006,4.98203421
KNA,2005,4.72803879
KNA,2004,4.49067402
KNA,2003,4.75159693
KNA,2002,4.45210552
KNA,2001,4.39693737
KNA,2000,4.79933786
PER,2020,5.00720334
PER,2019,5.21506882
