year,id_pais,obesidad
2000,ARG,18.633333333333333
2001,ARG,19.066666666666666
2002,ARG,19.5
2003,ARG,19.900000000000002
2004,ARG,20.3
2005,ARG,20.733333333333334
2006,ARG,21.166666666666668
2007,ARG,21.633333333333336
2008,ARG,22.066666666666666
2009,ARG,22.533333333333335
2010,ARG,22.966666666666665
2011,ARG,23.433333333333334
2012,ARG,23.899999999999995
2013,ARG,24.366666666666664
2014,ARG,24.833333333333332
2015,ARG,25.3
2016,ARG,25.8
2017,ARG,26.3
2018,ARG,26.8
2019,ARG,27.3
2020,ARG,27.8
2000,ATG,11.0
2001,ATG,11.333333333333334
2002,ATG,11.666666666666666
2003,ATG,12.0
2004,ATG,12.333333333333334
2005,ATG,12.666666666666666
2006,ATG,13.0
2007,ATG,13.333333333333334
2008,ATG,13.666666666666666
2009,ATG,14.033333333333333
2010,ATG,14.366666666666667
2011,ATG,14.733333333333334
2012,ATG,15.1
2013,ATG,15.5
2014,ATG,15.866666666666665
2015,ATG,16.266666666666666
2016,ATG,16.666666666666668
2017,ATG,17.099999999999998
2018,ATG,17.53333333333333
2019,ATG,17.966666666666665
2020,ATG,18.43333333333333
2000,BHS,21.433333333333334
2001,BHS,21.899999999999995
2002,BHS,22.399999999999995
2003,BHS,22.899999999999995
2004,BHS,23.399999999999995
2005,BHS,23.866666666666664
2006,BHS,24.333333333333332
2007,BHS,24.8
2008,BHS,25.26666666666667
2009,BHS,25.733333333333334
2010,BHS,26.166666666666668
2011,BHS,26.633333333333336
2012,BHS,27.099999999999998
2013,BHS,27.600000000000005
2014,BHS,28.066666666666666
2015,BHS,28.533333333333335
2016,BHS,29.0
2017,BHS,29.5
2018,BHS,30.0
2019,BHS,30.5
2020,BHS,31.03333333333333
2000,BLZ,14.200000000000001
2001,BLZ,14.6
2002,BLZ,15.033333333333333
2003,BLZ,15.466666666666667
2004,BLZ,15.933333333333332
2005,BLZ,16.4
2006,BLZ,16.866666666666664
2007,BLZ,17.333333333333332
2008,BLZ,17.766666666666666
2009,BLZ,18.233333333333334
2010,BLZ,18.666666666666668
2011,BLZ,19.133333333333333
2012,BLZ,19.566666666666666
2013,BLZ,20.033333333333335
2014,BLZ,20.5
2015,BLZ,21.0
2016,BLZ,21.5
2017,BLZ,22.0
2018,BLZ,22.5
2019,BLZ,23.03333333333333
2020,BLZ,23.566666666666666
2000,BOL,11.200000000000001
2001,BOL,11.6
2002,BOL,12.0
2003,BOL,12.4
2004,BOL,12.799999999999999
2005,BOL,13.200000000000001
2006,BOL,13.6
2007,BOL,14.0
2008,BOL,14.4
2009,BOL,14.799999999999999
2010,BOL,15.233333333333334
2011,BOL,15.666666666666666
2012,BOL,16.099999999999998
