id_pais,year,produccion_alimentos
VEN,2020,85.13
VEN,2019,83.22
VEN,2018,89.91
VEN,2017,88.83
VEN,2016,92.79
VEN,2015,101.45
VEN,2014,105.75
VEN,2013,104.53
VEN,2012,106.01
VEN,2011,115.66
VEN,2010,103.32
VEN,2009,102.16
VEN,2008,100.08
VEN,2007,98.44
VEN,2006,96.27
VEN,2005,92.98
VEN,2004,83.42
VEN,2003,87.87
VEN,2002,92.01
VEN,2001,94.22
VEN,2000,90.78
URY,2020,91.98
URY,2019,101.91
URY,2018,89.37
URY,2017,104.67
URY,2016,96.24
URY,2015,101.13
URY,2014,102.63
URY,2013,96.43
URY,2012,99.86
URY,2011,91.72
URY,2010,92.73
URY,2009,85.15
URY,2008,82.42
URY,2007,81.35
URY,2006,84.92
URY,2005,83.08
URY,2004,73.58
URY,2003,63.84
URY,2002,61.48
URY,2001,57.34
URY,2000,66.21
USA,2020,104.45
USA,2019,100.09
USA,2018,103.35
USA,2017,101.95
USA,2016,104.85
USA,2015,96.99
USA,2014,98.16
USA,2013,95.84
USA,2012,90.92
USA,2011,91.4
USA,2010,92.26
USA,2009,93.06
USA,2008,91.24
USA,2007,89.64
USA,2006,84.47
USA,2005,85.65
USA,2004,87.95
USA,2003,83.13
USA,2002,80.45
USA,2001,81.65
USA,2000,83.03
TTO,2020,103.87
TTO,2019,102.0
TTO,2018,108.19
TTO,2017,106.3
TTO,2016,101.01
TTO,2015,89.46
TTO,2014,109.53
TTO,2013,109.5
TTO,2012,110.08
TTO,2011,107.82
TTO,2010,110.44
TTO,2009,104.6
TTO,2008,99.27
TTO,2007,120.81
TTO,2006,115.28
TTO,2005,113.71
TTO,2004,116.33
TTO,2003,120.72
TTO,2002,137.63
TTO,2001,113.28
TTO,2000,114.01
BHS,2020,100.62
BHS,2019,99.7
BHS,2018,99.37
BHS,2017,99.91
BHS,2016,99.61
BHS,2015,100.94
BHS,2014,99.45
BHS,2013,95.69
BHS,2012,94.5
BHS,2011,96.3
BHS,2010,93.31
BHS,2009,79.16
BHS,2008,82.06
BHS,2007,82.0
BHS,2006,78.4
BHS,2005,75.63
BHS,2004,75.78
BHS,2003,72.09
BHS,2002,66.11
BHS,2001,67.32
BHS,2000,64.11
SUR,2020,99.78
SUR,2019,99.03
SUR,2018,98.41
SUR,2017,103.88
SUR,2016,100.14
SUR,2015,98.2
SUR,2014,101.66
SUR,2013,98.61
SUR,2012,91.3
SUR,2011,90.63
SUR,2010,92.07
SUR,2009,89.47
SUR,2008,77.36
SUR,2007,77.39
SUR,2006,72.51
SUR,2005,67.68
SUR,2004,65.23
SUR,2003,62.33
SUR,2002,57.47
SUR,2001,70.0
SUR,2000,64.09
VCT,2020,105.72
VCT,2019,104.31
VCT,2018,102.32
VCT,2017,99.99
VCT,2016,97.84
VCT,2015,100.15
VCT,2014,102.01
VCT,2013,98.31
VCT,2012,98.69
VCT,2011,96.28
VCT,2010,93.98
VCT,2009,96.42
VCT,2008,92.95
VCT,2007,92.5
VCT,2006,89.73
VCT,2005,88.44
VCT,2004,78.06
VCT,2003,82.54
VCT,2002,80.6
VCT,2001,77.0
VCT,2000,73.3
LCA,2020,86.39
LCA,2019,98.33
LCA,2018,102.82
LCA,2017,99.34
LCA,2016,97.5
LCA,2015,101.2
LCA,2014,101.29
LCA,2013,99.51
LCA,2012,95.58
LCA,2011,108.63
LCA,2010,107.05
LCA,2009,136.54
LCA,2008,141.1
LCA,2007,123.67
LCA,2006,120.53
LCA,2005,113.11
LCA,2004,140.83
LCA,2003,147.57
LCA,2002,171.63
LCA,2001,143.96
LCA,2000,172.01
KNA,2020,91.08
KNA,2019,92.9
KNA,2018,96.51
KNA,2017,96.02
KNA,2016,99.3
KNA,2015,99.77
KNA,2014,100.92
KNA,2013,101.91
KNA,2012,104.74
KNA,2011,118.76
KNA,2010,105.35
KNA,2009,108.13
KNA,2008,112.64
KNA,2007,104.62
KNA,2006,96.55
KNA,2005,260.52
KNA,2004,502.01
KNA,2003,404.82
KNA,2002,399.15
KNA,2001,401.96
KNA,2000,393.75
PER,2020,118.54
PER,2019,116.38
PER,2018,111.64
PER,2017,103.5
PER,2016,101.74
PER,2015,99.59
PER,2014,98.67
PER,2013,95.04
PER,2012,91.24
PER,2011,85.79
PER,2010,83.56
PER,2009,79.67
PER,2008,77.05
PER,2007,71.15
PER,2006,68.68
PER,2005,64.22
PER,2004,59.83
PER,2003,60.41
PER,2002,58.71
PER,2001,55.29
PER,2000,55.67
PRY,2020,116.8
PRY,2019,102.19
PRY,2018,110.21
PRY,2017,110.53
PRY,2016,101.59
PRY,2015,98.81
PRY,2014,99.6
PRY,2013,92.89
PRY,2012,62.4
PRY,2011,84.42
PRY,2010,80.39
PRY,2009,57.92
PRY,2008,66.9
PRY,2007,68.02
PRY,2006,58.42
PRY,2005,54.51
PRY,2004,52.94
PRY,2003,53.94
PRY,2002,48.63
PRY,2001,47.28
PRY,2000,41.31
PAN,2020,106.5
PAN,2019,108.89
PAN,2018,107.63
PAN,2017,103.07
PAN,2016,100.78
PAN,2015,99.87
PAN,2014,99.35
PAN,2013,97.91
PAN,2012,95.81
PAN,2011,92.11
PAN,2010,88.9
PAN,2009,87.38
PAN,2008,90.87
PAN,2007,91.0
PAN,2006,86.37
PAN,2005,81.23
PAN,2004,80.2
PAN,2003,81.69
PAN,2002,80.67
PAN,2001,79.95
PAN,2000,78.43
NIC,2020,131.55
NIC,2019,126.33
NIC,2018,124.66
NIC,2017,111.31
NIC,2016,101.42
NIC,2015,97.87
NIC,2014,100.71
NIC,2013,102.39
NIC,2012,100.51
NIC,2011,96.38
NIC,2010,90.18
NIC,2009,88.36
NIC,2008,81.76
NIC,2007,79.32
NIC,2006,77.1
NIC,2005,75.23
NIC,2004,69.85
NIC,2003,71.14
NIC,2002,63.15
NIC,2001,60.28
NIC,2000,60.02
MEX,2020,112.83
MEX,2019,112.25
