id_pais,year, srv_sanit_bas
VEN,2020,95.75957043
VEN,2019,95.5779092
VEN,2018,95.39624796
VEN,2017,95.21458673
VEN,2016,95.0329255
VEN,2015,94.85126426
VEN,2014,94.66960303
VEN,2013,94.4879418
VEN,2012,94.30628056
VEN,2011,94.12461933
VEN,2010,93.9429581
VEN,2009,93.76129686
VEN,2008,93.57886144
VEN,2007,93.22634408
VEN,2006,92.87647265
VEN,2005,92.52921749
VEN,2004,92.52921749
VEN,2003,92.52921749
VEN,2002,92.52921749
VEN,2001,92.52921749
VEN,2000,92.52921749
URY,2020,98.05452933
URY,2019,97.76780113
URY,2018,97.48035591
URY,2017,97.19214802
URY,2016,96.90314959
URY,2015,96.61331513
URY,2014,96.32263939
URY,2013,96.03107974
URY,2012,95.73860832
URY,2011,95.44424262
URY,2010,95.14509668
URY,2009,94.84358905
URY,2008,94.53965858
URY,2007,94.2330883
URY,2006,93.92380727
URY,2005,93.61163085
URY,2004,93.46887702
URY,2003,93.44702313
URY,2002,93.4243868
URY,2001,93.4011345
URY,2000,93.37709796
USA,2020,99.67961928
USA,2019,99.69599445
USA,2018,99.71277377
USA,2017,99.72996764
USA,2016,99.74755356
USA,2015,99.7655241
USA,2014,99.78386084
USA,2013,99.80256859
USA,2012,99.82162867
USA,2011,99.84103269
USA,2010,99.86076619
USA,2009,99.88081511
USA,2008,99.8810546
USA,2007,99.88129549
USA,2006,99.88154042
USA,2005,99.8817868
USA,2004,99.8820292
USA,2003,99.88227989
USA,2002,99.88253062
USA,2001,99.88278005
USA,2000,99.88303647
TTO,2020,93.91521101
TTO,2019,93.91521101
TTO,2018,93.91521101
TTO,2017,93.8006428
TTO,2016,93.68607458
TTO,2015,93.57150636
TTO,2014,93.45693815
TTO,2013,93.34236993
TTO,2012,93.0866188
TTO,2011,92.83121467
TTO,2010,92.57615753
TTO,2009,92.3214474
TTO,2008,92.06708428
TTO,2007,91.81306815
TTO,2006,91.55939902
TTO,2005,91.3060769
TTO,2004,91.05310177
TTO,2003,90.80047365
TTO,2002,90.54819252
TTO,2001,90.2962584
TTO,2000,90.04467128
BHS,2020,94.93058233
BHS,2019,94.93058233
BHS,2018,94.93058233
BHS,2017,94.93058233
BHS,2016,94.93058233
BHS,2015,94.93058233
BHS,2014,94.58781011
BHS,2013,94.24503789
BHS,2012,93.90226567
BHS,2011,93.36957535
BHS,2010,92.83827663
BHS,2009,92.3083695
BHS,2008,91.77985398
BHS,2007,91.25273005
BHS,2006,90.72699772
BHS,2005,90.20265699
BHS,2004,89.67970787
BHS,2003,89.15815034
BHS,2002,88.6379844
BHS,2001,88.11921007
BHS,2000,87.60182734
SUR,2020,89.95421143
SUR,2019,89.24914322
SUR,2018,88.54872177
SUR,2017,87.85308627
SUR,2016,87.1630069
SUR,2015,86.47885398
SUR,2014,85.80110306
SUR,2013,85.13041704
SUR,2012,84.467081
SUR,2011,83.80814755
SUR,2010,83.1536007
SUR,2009,82.50341408
SUR,2008,81.85734831
SUR,2007,81.21582757
SUR,2006,80.57861282
SUR,2005,79.94543214
SUR,2004,79.31336202
SUR,2003,78.99356451
SUR,2002,78.67248062
SUR,2001,78.34981361
SUR,2000,78.02613017
VCT,2020,87.1843449
VCT,2019,87.1843449
VCT,2018,87.1843449
VCT,2017,87.1843449
VCT,2016,87.1843449
VCT,2015,87.1843449
VCT,2014,87.1843449
VCT,2013,86.01616153
VCT,2012,84.84797815
VCT,2011,83.67979478
VCT,2010,82.5116114
VCT,2009,81.34342803
VCT,2008,80.17524465
VCT,2007,79.00706128
VCT,2006,77.83887791
VCT,2005,76.67069453
VCT,2004,75.50251116
VCT,2003,74.33432778
VCT,2002,73.16614441
VCT,2001,71.99796103
VCT,2000,70.82977766
LCA,2020,83.36810833
LCA,2019,83.37231796
LCA,2018,83.375995
LCA,2017,83.25699604
LCA,2016,83.10351791
LCA,2015,82.91353758
LCA,2014,82.72336643
LCA,2013,82.97381845
LCA,2012,83.21779251
LCA,2011,83.4554355
LCA,2010,83.68751104
LCA,2009,83.87897171
LCA,2008,84.06634407
LCA,2007,84.25554868
LCA,2006,84.44639319
LCA,2005,84.63842525
LCA,2004,84.83124521
LCA,2003,85.02425066
LCA,2002,85.0025865
LCA,2001,84.98031678
LCA,2000,84.97445992
KNA,2020,94.95359452
KNA,2019,94.95359452
KNA,2018,94.95359452
KNA,2017,94.95359452
KNA,2016,94.95359452
KNA,2015,94.95359452
KNA,2014,94.95359452
KNA,2013,94.95359452
KNA,2012,94.29953828
KNA,2011,93.64548203
KNA,2010,92.99142579
KNA,2009,92.33736955
KNA,2008,91.68331331
KNA,2007,91.02925707
KNA,2006,90.37520083
KNA,2005,89.72114459
KNA,2004,89.06708835
KNA,2003,88.4130321
KNA,2002,87.75897586
KNA,2001,87.10491962
KNA,2000,86.45086338
PER,2020,78.57670211
PER,2019,77.8836449
PER,2018,77.18766036
PER,2017,76.4886635
PER,2016,75.78709672
PER,2015,75.08109976
PER,2014,74.37032987
PER,2013,73.65533795
PER,2012,72.93578293
PER,2011,72.21128891
PER,2010,71.48246071
PER,2009,70.74857555
PER,2008,70.01029506
PER,2007,69.24466234
PER,2006,68.42083539
PER,2005,67.58611784
PER,2004,66.74113565
PER,2003,65.88490593
PER,2002,65.01766968
PER,2001,64.13971934
PER,2000,63.25045105
PRY,2020,92.7207854
PRY,2019,91.77642662
PRY,2018,90.73172627
PRY,2017,89.69285635
PRY,2016,88.64711913
PRY,2015,87.59312692
PRY,2014,86.53108842
PRY,2013,85.46081325
PRY,2012,84.38013804
PRY,2011,83.28476857
PRY,2010,82.18003263
PRY,2009,81.06568674
PRY,2008,79.9416649
PRY,2007,78.80789966
PRY,2006,77.66457888
PRY,2005,76.51140685
PRY,2004,75.34831633
PRY,2003,74.17553235
PRY,2002,72.97801975
PRY,2001,71.68733529
PRY,2000,70.37033154
PAN,2020,84.57385023
PAN,2019,83.37854998
PAN,2018,82.19061536
PAN,2017,81.01029843
PAN,2016,79.83758375
PAN,2015,78.67273411
PAN,2014,77.51545202
PAN,2013,76.36571716
PAN,2012,75.22406787
PAN,2011,74.09021401
PAN,2010,72.96413685
PAN,2009,71.84610766
PAN,2008,70.73329502
PAN,2007,69.62595556
PAN,2006,68.52436688
PAN,2005,67.42793677
PAN,2004,66.33693881
PAN,2003,65.2513523
PAN,2002,64.17116249
PAN,2001,63.09663487
PAN,2000,62.36763127
NIC,2020,73.02109747
NIC,2019,72.96939836
NIC,2018,72.92057175
NIC,2017,72.87482222
NIC,2016,72.83194574
NIC,2015,71.85388386
NIC,2014,70.87443679
NIC,2013,69.89360137
NIC,2012,68.91116078
NIC,2011,67.92732563
NIC,2010,66.9420976
NIC,2009,65.95547594
NIC,2008,64.96745909
NIC,2007,63.9778125
NIC,2006,62.98700586
NIC,2005,61.99456123
NIC,2004,61.01162027
NIC,2003,60.02859587
NIC,2002,59.04451172
NIC,2001,58.05936717
NIC,2000,57.07290349
MEX,2020,92.42406261
MEX,2019,91.73666093
MEX,2018,91.04184497
MEX,2017,90.33947554
MEX,2016,89.62944687
MEX,2015,88.91148404
MEX,2014,88.18573213
MEX,2013,87.45178303
MEX,2012,86.70980432
MEX,2011,85.95971004
MEX,2010,85.20102819
MEX,2009,84.43419231
MEX,2008,83.65830449
MEX,2007,82.87293106
MEX,2006,82.07830717
MEX,2005,81.27377788
MEX,2004,80.45935571
MEX,2003,79.6345608
MEX,2002,78.79972131
MEX,2001,77.9543609
MEX,2000,77.0982603
JAM,2020,86.60642453
JAM,2019,86.63160182
JAM,2018,86.49974124
JAM,2017,86.28739247
JAM,2016,86.07016642
JAM,2015,85.84954834
JAM,2014,85.62576588
JAM,2013,85.39915542
JAM,2012,85.169952
JAM,2011,84.93844534
JAM,2010,84.7049499
JAM,2009,84.47002427
JAM,2008,84.23371017
JAM,2007,83.99602578
JAM,2006,83.75695613
JAM,2005,83.51652315
JAM,2004,83.27473463
JAM,2003,83.03157627
JAM,2002,82.92912518
JAM,2001,82.82578122
JAM,2000,82.72092608
HND,2020,83.77658071
HND,2019,82.84438013
HND,2018,81.89836471
HND,2017,80.93837603
HND,2016,79.96425438
HND,2015,78.97595367
HND,2014,78.0073178
HND,2013,77.02496233
HND,2012,76.02925796
HND,2011,75.01956873
HND,2010,73.99623816
HND,2009,72.95858725
HND,2008,71.90688871
HND,2007,70.8404163
HND,2006,69.75947787
HND,2005,68.66369676
HND,2004,67.55327262
HND,2003,66.42720458
HND,2002,65.28633706
HND,2001,64.13237249
HND,2000,62.99604634
HTI,2020,37.12173441
HTI,2019,36.93852795
HTI,2018,35.81744586
HTI,2017,34.70445486
HTI,2016,33.59935056
HTI,2015,32.50172798
HTI,2014,31.41232366
HTI,2013,30.3333259
HTI,2012,29.26474876
HTI,2011,28.20566083
HTI,2010,27.15643914
HTI,2009,26.11670299
HTI,2008,25.08643399
HTI,2007,24.06453423
HTI,2006,23.05187488
HTI,2005,22.04753778
HTI,2004,21.0516683
HTI,2003,20.0496669
HTI,2002,18.93770924
HTI,2001,17.83749693
HTI,2000,16.74954137
GUY,2020,85.78250661
GUY,2019,85.77491899
GUY,2018,85.76842506
GUY,2017,85.7631015
GUY,2016,85.75872184
GUY,2015,85.34648711
GUY,2014,84.93294018
GUY,2013,84.5179622
GUY,2012,84.10157254
GUY,2011,83.68271081
GUY,2010,83.27808335
GUY,2009,82.87059904
GUY,2008,82.4603068
GUY,2007,82.04729576
GUY,2006,81.63153547
GUY,2005,81.21306415
GUY,2004,80.79197837
GUY,2003,80.36824606
GUY,2002,79.85415092
GUY,2001,79.33274119
GUY,2000,78.81211752
GTM,2020,67.92858108
GTM,2019,67.68918412
GTM,2018,67.44372128
GTM,2017,67.1919655
GTM,2016,66.93445822
GTM,2015,66.67125906
GTM,2014,66.4019023
GTM,2013,66.12724862
GTM,2012,65.84684641
GTM,2011,65.56077361
GTM,2010,65.26596018
GTM,2009,64.96173676
GTM,2008,64.6488813
GTM,2007,64.32611565
