PAIS,NOMBRE PAIS,ANIO,CONSUMO ALCOHOL,CONSUMO TABACO,HAB.MEAN,SERV SANITARIOS,ACCESO ELECTRICIDAD,ACC.AE,IND.N.VIDA,ESPERANZA
ARG,Argentina,2000,9.556666666666667,34.0,0.21778333333333333,87.22025186,95.7832870483398,0.8354242420334874,3.836033865616381,73.926
ARG,Argentina,2001,8.698796666666667,33.5,0.21099398333333333,87.75030642,95.5110626220703,0.8381125011586478,3.972210429501099,74.1864
ARG,Argentina,2002,8.216686666666666,33.0,0.20608343333333334,88.27940072,96.2288665771484,0.8495026673395498,4.122129826736274,74.408
ARG,Argentina,2003,7.749493333333334,32.5,0.20124746666666668,88.80778679,96.4426345825195,0.8564856929470273,4.255883103192821,74.0801
ARG,Argentina,2004,7.729806666666666,32.0,0.19864903333333334,89.33608423,96.6535034179688,0.8634645522472255,4.346683886441727,74.8549
ARG,Argentina,2005,7.683879999999999,31.5,0.19591940000000002,89.86410386,96.8638458251953,0.8704582701514377,4.442940669231519,75.1388
ARG,Argentina,2006,7.614406666666667,30.98,0.19297203333333335,90.3920797,97.076057434082,0.8774906720543317,4.54724271127197,75.4326
ARG,Argentina,2007,7.675296666666667,30.46,0.19067648333333334,90.91980455,97.2927932739258,0.8845841748588887,4.639188637187589,75.0057
ARG,Argentina,2008,7.853333333333334,29.939999999999998,0.18896666666666664,91.44751476,97.5167541503906,0.8917664814515136,4.719173477429073,75.6411
ARG,Argentina,2009,8.126666666666667,29.419999999999998,0.18773333333333334,91.97501431,97.7506561279297,0.8990617996178224,4.789036574668798,75.9359
ARG,Argentina,2010,8.306666666666667,28.9,0.18603333333333333,92.50233092,98.8199996948242,0.9141080313284928,4.913678720633361,75.7208
ARG,Argentina,2011,8.303333333333333,28.439999999999998,0.18371666666666667,93.02688168,99.0953521728516,0.9218531601621798,5.017798204638554,76.124
ARG,Argentina,2012,8.06,27.98,0.1802,93.55005363,99.22998046875,0.9282969994555414,5.1514816839930155,76.4669
ARG,Argentina,2013,7.946666666666666,27.52,0.17733333333333334,94.01399452,99.3426742553711,0.9339601633046603,5.2666926502142495,76.4908
ARG,Argentina,2014,7.986666666666667,27.060000000000002,0.17523333333333332,94.48011382,100.0,0.9448011382,5.391674747194218,76.7549
ARG,Argentina,2015,8.066666666666665,26.6,0.1733333333333333,94.9480284,99.6253890991211,0.94592342735444,5.457250542429462,76.7602
ARG,Argentina,2016,8.229999999999999,26.033333333333335,0.17131666666666667,95.41770247,99.8495788574219,0.9527417407172286,5.561290440999485,76.3077
ARG,Argentina,2017,8.266666666666666,25.466666666666665,0.16866666666666666,95.41770247,100.0,0.9541770247,5.6571760357707515,76.833
ARG,Argentina,2018,8.386666666666665,24.9,0.16643333333333332,95.41770247,99.9895782470703,0.9540775827279738,5.732490983745087,76.9994
ARG,Argentina,2019,8.206666666666665,24.9,0.1655333333333333,95.41770247,100.0,0.9541770247,5.764259110149014,77.2845
ARG,Argentina,2020,8.063333333333333,24.5,0.16281666666666667,95.41770247,100.0,0.9541770247,5.860438272289897,75.8921
ATG,Antigua and Barbuda,2000,5.483333333333333,10.2,0.07841666666666666,82.40930841,97.6892623901367,0.8050504552654189,10.26631823930396,74.6058
ATG,Antigua and Barbuda,2001,5.952369999999999,10.1,0.08026185,82.80122949,97.7852554321289,0.8096739375773974,10.087905244862876,75.0781
ATG,Antigua and Barbuda,2002,6.453143333333333,10.0,0.08226571666666667,83.19315056,100.0,0.8319315056000001,10.112736378033539,75.5357
ATG,Antigua and Barbuda,2003,6.794176666666666,9.9,0.08347088333333334,83.58507164,97.9568252563477,0.8187728256678783,9.80908303555605,75.4778
ATG,Antigua and Barbuda,2004,6.8125133333333325,9.8,0.08306256666666666,83.97699271,98.0371017456055,0.8232860978600242,9.911638068733218,75.6721
ATG,Antigua and Barbuda,2005,6.769503333333333,9.7,0.08234751666666666,84.36891379,92.1999969482422,0.7778813593964509,9.44632444163709,75.8254
ATG,Antigua and Barbuda,2006,7.023533333333333,9.6,0.08311766666666667,84.76083486,100.0,0.8476083486,10.197691809603253,75.7647
ATG,Antigua and Barbuda,2007,7.284566666666667,9.5,0.08392283333333334,85.15275594,100.0,0.8515275594,10.14655398987562,76.1311
ATG,Antigua and Barbuda,2008,7.745873333333333,9.4,0.08572936666666667,85.54467701,100.0,0.8554467701,9.978456663819205,76.4103
