PAIS,NOMBRE PAIS,ANIO,RENTA RECURSOS,INDUSTRIA,PIB,INVERSION SALUD,INVERSION EDUCACION,INVERSION DESARROLLO,GINI,INVERS.,PIB.INV,IND.ESTADO,ESPERANZA
ARG,Argentina,2000,2.28470069475626,25.9908360111364,284203750000.0,8.2200098,4.58030986785889,0.438840001821518,51.1,0.1323915966968041,37626188249.71934,10.568765762202128,73.926
ARG,Argentina,2001,1.92453004289424,25.2434339827333,268696750000.0,8.37179756,4.833740234375,0.424609988927841,53.3,0.1363014778330284,36623764113.93177,10.130650807409943,74.1864
ARG,Argentina,2002,5.81533741054247,30.5577370913046,97724004251.8602,7.3933115,4.01734018325806,0.388859987258911,53.8,0.11799511670516971,11530955286.594746,9.989858869000301,74.408
ARG,Argentina,2003,5.11833945547396,32.6450990996503,127586973492.177,6.89451599,3.53504991531372,0.410129994153976,50.9,0.10839695899467697,13830039933.886448,10.563542546501875,74.0801
ARG,Argentina,2004,4.95048349859177,28.816922006834,164657930452.787,7.22868299,3.48652005195618,0.403759986162186,48.4,0.11118963028118366,18308254409.910236,11.11843258397826,74.8549
ARG,Argentina,2005,5.75121620027831,28.6263140439084,198737095012.282,7.61078882,3.86000990867615,0.420740008354187,47.7,0.11891538737030337,23632898638.234303,11.292758941035224,75.1388
ARG,Argentina,2006,6.11775266236952,29.2032796652469,232557260817.308,7.64032841,4.12821006774902,0.452160000801086,46.3,0.12220698478550107,28420121634.458565,11.644564228660965,75.4326
ARG,Argentina,2007,4.96376290598617,27.4152361334783,287530508430.568,7.83455086,4.46260023117065,0.460070013999939,46.2,0.12757221105170588,36680902705.308716,11.687649391646918,75.0057
ARG,Argentina,2008,5.00758015026195,26.2724599395946,361558037110.419,8.18266869,4.84440994262695,0.470550000667572,44.9,0.13497628633294523,48801761142.99355,12.053039815987885,75.6411
ARG,Argentina,2009,3.03424095605109,25.2842047993735,332976484577.619,9.45598793,5.53105020523071,0.583980023860931,43.7,0.1557101815909164,51847828879.08603,12.390986144427124,75.9359
ARG,Argentina,2010,3.3233580463399,25.2587762576722,423627422092.49,9.44546986,5.01971006393433,0.561039984226227,43.6,0.15026219908160557,63655188034.889084,12.44648693640013,75.7208
ARG,Argentina,2011,3.71554751491933,25.2126976058843,530163281574.658,9.41821575,5.29062986373901,0.565970003604889,42.6,0.152748156173439,80981463731.38878,12.779329999922432,76.124
ARG,Argentina,2012,3.41336111841849,24.4290570649122,545982375701.128,9.82728195,5.34582996368408,0.634909987449646,41.3,0.15808021901133726,86309013527.16454,13.194484575696686,76.4669
ARG,Argentina,2013,3.01544202009906,24.0058814423072,552025140252.246,9.78097343,5.43661022186279,0.618489980697632,40.9,0.1583607363256042,87419107680.5906,13.326240156274226,76.4908
ARG,Argentina,2014,2.74526885141793,24.2773944936602,526319673731.638,9.67129135,5.36144018173218,0.593959987163544,41.6,0.15626691518895724,82246351817.30153,13.089566028973243,76.7549
ARG,Argentina,2015,1.08743567210003,23.153056135905,594749285413.212,10.22933865,5.77611017227173,0.622619986534119,41.8,0.16628068808805851,98895320418.39,13.066766594865927,76.7602
ARG,Argentina,2016,0.936269075921548,22.0541072112108,557531376217.967,9.00189686,5.54548978805542,0.558149993419647,42.0,0.15105536641475067,84218106322.32523,12.969598148947362,76.3077
ARG,Argentina,2017,1.12360659021161,21.782123219335,643628665302.155,10.44225502,5.45431995391846,0.556309998035431,41.1,0.1645288497195389,105895483948.68567,13.306346959085774,76.833
ARG,Argentina,2018,2.1012769363927,23.7195923321304,524819742918.669,9.66646481,4.87773990631104,0.494349986314774,41.3,0.15038554702625814,78925304129.00421,13.176606344708405,76.9994
ARG,Argentina,2019,2.19160282132649,24.052388220108,452818426182.658,9.5100708,4.72417020797729,0.457130014896393,42.9,0.1469137102287368,66525235050.43167,12.656266553114216,77.2845
ARG,Argentina,2020,1.8285686630972,23.3112183791703,389591035520.675,7.4209716299999995,4.72417020797729,0.45327342369339696,42.3,0.12598415261670687,49082296477.13758,12.794551803103321,75.8921
ATG,Antigua and Barbuda,2000,0.0,13.8907314449624,826370370.37037,4.69438457,3.39525008201599,0.45,51.2,0.0853963465201599,70569010.502141,10.47477282274623,74.6058
ATG,Antigua and Barbuda,2001,0.0,12.8825244066071,800481481.481481,5.43587589,3.39525008201599,0.45,51.2,0.09281125972015991,74293694.6789561,10.474780097520012,75.0781
ATG,Antigua and Barbuda,2002,0.0,13.0460290245267,814381481.481481,5.28793621,3.39525008201599,0.44,51.2,0.0912318629201599,74297539.68323521,10.474780105029787,75.5357
ATG,Antigua and Barbuda,2003,0.0,13.2713740177401,856396296.296296,5.58626556,3.2686272008078427,0.44,51.2,0.09294892760807844,79601117.34827091,10.474790463579915,75.4778
ATG,Antigua and Barbuda,2004,0.0,13.0533530385339,919729629.62963,5.11667967,3.1420043195996956,0.43,51.2,0.08688683989599695,79912401.07723424,10.474791071555947,75.6721
ATG,Antigua and Barbuda,2005,0.0,14.5184648805214,1022962962.96296,4.9945569,3.0153814383915485,0.43,51.2,0.08439938338391548,86337443.29865699,10.474803620466535,75.8254
ATG,Antigua and Barbuda,2006,0.0,18.4522457441397,1157662962.96296,4.63347101,2.8887585571834014,0.43,51.2,0.07952229567183401,92060016.42907193,10.47481479736718,75.7647
ATG,Antigua and Barbuda,2007,0.0,17.7409753276249,1312759259.25926,4.44986248,2.7621356759752542,0.42,51.2,0.07631998155975254,100189762.45906113,10.474830675777396,76.1311
ATG,Antigua and Barbuda,2008,0.0,19.1239163168153,1370070370.37037,4.2048173,2.635512794767107,0.42,51.2,0.07260330094767108,99471631.41948713,10.47482927317771,76.4103
ATG,Antigua and Barbuda,2009,0.0,19.4609361101647,1228329629.62963,4.19123125,2.50888991355896,0.41,51.2,0.0711012116355896,87335724.95456173,10.474805570235393,76.6694
ATG,Antigua and Barbuda,2010,0.0,16.2041470390038,1148700000.0,5.37907028,2.49773485319955,0.41,51.2,0.0828680513319955,95190530.56506322,10.474820911652603,76.8195
ATG,Antigua and Barbuda,2011,0.0,14.5307687799923,1137637037.03704,5.44257212,2.48657979284014,0.41,51.2,0.0833915191284014,94869280.73525222,10.474820284211528,77.1038
ATG,Antigua and Barbuda,2012,0.0,14.2854938176341,1199948148.14815,5.47921419,2.47542473248073,0.4,51.2,0.08354638922480731,100251335.03477208,10.474830796036333,77.3502
ATG,Antigua and Barbuda,2013,0.0,15.6822606280428,1181448148.14815,5.50909281,2.4642696721213198,0.4,51.2,0.08373362482121322,98926935.98275432,10.474828209319433,77.5834
ATG,Antigua and Barbuda,2014,0.0,16.1886387614543,1249733333.33333,5.87269974,2.45311461176191,0.4,51.2,0.0872581435176191,109049410.55875221,10.47484797977759,77.8577
ATG,Antigua and Barbuda,2015,0.0,16.4579794794781,1336692592.59259,5.27965546,2.4419595514025,0.39,51.2,0.081116150114025,108427356.9970458,10.474846764829227,77.9127
ATG,Antigua and Barbuda,2016,0.0,17.9383723748189,1436585185.18519,5.12190151,2.43080449104309,0.39,51.2,0.0794270600104309,114103737.71380007,10.474857851510315,78.1516
ATG,Antigua and Barbuda,2017,0.0,19.2206966499644,1467977777.77778,4.87493944,2.44847750663757,0.38,51.2,0.0770341694663757,113084448.90620711,10.474855860711862,78.2683
ATG,Antigua and Barbuda,2018,0.0,21.1069983049088,1605944444.44444,4.85093021,2.64407563209534,0.38,51.2,0.0787500584209534,126468218.82080519,10.474882000887478,78.5112
ATG,Antigua and Barbuda,2019,0.0,21.16303875479,1687533333.33333,4.44295979,2.83133506774902,0.38,51.2,0.0765429485774902,129168777.1561337,10.474887275415476,78.6912
ATG,Antigua and Barbuda,2020,0.0,21.1032607520488,1370281481.48148,6.331484795,3.453125,0.37,51.2,0.10154609795,139146737.53758946,10.474906763619344,78.8406
BHS,"Bahamas, The",2000,0.0065462344231874,12.1488719700562,8076470000.0,3.80487037,2.23284006118774,0.11222754198996727,40.7,0.06149937973177707,496697895.4223055,13.178156791476631,72.0411
BHS,"Bahamas, The",2001,0.0067255268148468,9.53614103678483,8317830000.0,3.92440891,2.244272041320798,0.11202623060003636,40.7,0.06280707181920833,522418546.18996567,13.178219987178766,72.1101
BHS,"Bahamas, The",2002,0.0080276191015993,10.6168563566021,8881160000.0,3.81251955,2.255704021453856,0.11182491921010544,40.7,0.06180048490663961,548859994.5334514,13.178284953882311,72.2316
BHS,"Bahamas, The",2003,0.0071191326516459,10.870239197122,8870090000.0,4.01998568,2.267136001586914,0.11162360782017453,40.7,0.06398745289407087,567574466.0411692,13.178330935384787,72.402
BHS,"Bahamas, The",2004,0.0063208519532434,10.3431253996283,9055290000.0,4.04628181,2.278567981719972,0.11142229643024361,40.7,0.06436272088150216,582823102.7710577,13.1783684013227,72.478
BHS,"Bahamas, The",2005,0.0061864658343191,10.8090522762856,9836200000.0,4.03196478,2.28999996185303,0.11122098504031269,40.7,0.06433185726893342,632781014.4686829,13.178491148034487,72.7654
