PAIS,NOMBRE PAIS,ANIO,FUERZA LABORAL,DESEMPLEO,EMPLEADOS,INGRESO MEDIO PC,TRAB.INDEX,POBLACION,ESPERANZA
ARG,Argentina,2000,16436817.0,15.0,13971294.0,7470.0,2830.575346949385,36870796.0,73.926
ARG,Argentina,2001,16504173.0,17.3199996948242,13645650.0,7000.0,2562.519107651098,37275644.0,74.1864
ARG,Argentina,2002,16336016.0,19.5900001525879,13135790.0,4040.0,1408.3369657290004,37681743.0,74.408
ARG,Argentina,2003,16799186.0,15.3599996566772,14218831.0,3650.0,1362.6054331844164,38087866.0,74.0801
ARG,Argentina,2004,17277472.0,13.5200004577637,14941558.0,3370.0,1308.1442820411635,38491970.0,74.8549
ARG,Argentina,2005,17396830.0,11.5100002288818,15394455.0,4260.0,1686.1776270665584,38892924.0,75.1388
ARG,Argentina,2006,17709282.0,10.0799999237061,15924186.0,5480.0,2221.043896397128,39289876.0,75.4326
ARG,Argentina,2007,17752637.0,8.47000026702881,16248989.0,6510.0,2665.560697639064,39684303.0,75.0057
ARG,Argentina,2008,17796615.0,7.84000015258789,16401360.0,7670.0,3138.670961859208,40080159.0,75.6411
ARG,Argentina,2009,18144303.0,8.64999961853027,16574821.0,7800.0,3193.545123104917,40482786.0,75.9359
ARG,Argentina,2010,18158593.0,7.71000003814697,16758565.0,9270.0,3808.722472264393,40788453.0,75.7208
ARG,Argentina,2011,18563047.0,7.17999982833862,17230220.0,10710.0,4472.345913829094,41261490.0,76.124
ARG,Argentina,2012,18728448.0,7.21999979019165,17376254.0,11890.0,4950.574328573478,41733271.0,76.4669
ARG,Argentina,2013,18849614.0,7.09999990463257,17511291.0,12870.0,5340.157388816679,42202935.0,76.4908
ARG,Argentina,2014,18928695.0,7.26999998092651,17552579.0,12350.0,5080.311478925228,42669500.0,76.7549
ARG,Argentina,2015,19106351.0,7.52099990844727,17669362.0,12600.0,5161.692866028875,43131966.0,76.7602
ARG,Argentina,2016,19274835.0,8.11100006103516,17711453.0,12220.0,4965.178446302632,43590368.0,76.3077
ARG,Argentina,2017,19446034.0,8.35000038146973,17822290.0,13140.0,5316.968906961594,44044811.0,76.833
ARG,Argentina,2018,19952439.0,9.22000026702881,18112824.0,12430.0,5060.004993875423,44494502.0,76.9994
ARG,Argentina,2019,20429749.0,9.84000015258789,18419462.0,11260.0,4615.244471626156,44938712.0,77.2845
ARG,Argentina,2020,19208592.0,11.460000038147,17007287.0,9080.0,3403.1992533270827,45376763.0,75.8921
ATG,Antigua and Barbuda,2000,32683.01,10.991,29091.0,10100.0,3865.6847395634613,76007.0,74.6058
ATG,Antigua and Barbuda,2001,33973.28,12.349,29778.0,9850.0,3798.8045899601098,77212.0,75.0781
ATG,Antigua and Barbuda,2002,35234.1,13.57,30453.0,9660.0,3757.132749240083,78298.0,75.5357
ATG,Antigua and Barbuda,2003,36483.060000000005,14.75,31102.0,10530.0,4129.364905246435,79311.0,75.4778
ATG,Antigua and Barbuda,2004,36959.62,13.915,31817.0,11450.0,4534.141287166914,80347.0,75.6721
ATG,Antigua and Barbuda,2005,38287.14,12.424,33530.0,12420.0,5112.108713265081,81462.0,75.8254
ATG,Antigua and Barbuda,2006,39703.2,10.619,35487.0,13810.0,5924.8681617602615,82715.0,75.7647
ATG,Antigua and Barbuda,2007,41174.21,9.315,37339.0,15090.0,6705.3696937961895,84029.0,76.1311
ATG,Antigua and Barbuda,2008,42697.0,8.468,39081.0,15250.0,6979.2403447549,85394.0,76.4103
ATG,Antigua and Barbuda,2009,44238.93,10.202,39726.0,13600.0,6228.44033524319,86743.0,76.6694
ATG,Antigua and Barbuda,2010,44895.3,11.335,39806.0,12690.0,5738.249914801772,88030.0,76.8195
ATG,Antigua and Barbuda,2011,46410.0,12.456,40629.0,12370.0,5631.156638655462,89250.0,77.1038
ATG,Antigua and Barbuda,2012,48819.780000000006,12.582,42677.0,12780.0,6032.852102160231,90407.0,77.3502
ATG,Antigua and Barbuda,2013,50330.50000000001,14.63,42967.0,12620.0,5925.511310239318,91510.0,77.5834
ATG,Antigua and Barbuda,2014,50909.100000000006,14.067,43748.0,12760.0,6030.816965925542,92562.0,77.8577
ATG,Antigua and Barbuda,2015,52399.76,13.526,45312.0,12850.0,6222.645905248421,93571.0,77.9127
