PAIS,NIVEL INGRESOS,ANIO,ESPERANZA DE VIDA,NOMBRE PAIS
ARG,UMC,2020,75.8921,Argentina
ATG,HIC,2020,78.8406,Antigua & Barbuda
BHS,HIC,2020,72.6766,Bahamas
BLZ,UMC,2020,72.854,Belize
BOL,LMC,2020,64.4667,Bolivia
BRA,UMC,2020,74.0089,Brazil
BRB,HIC,2020,77.3929,Barbados
CAN,HIC,2020,82.0471,Canada
CHL,HIC,2020,79.3769,Chile
COL,UMC,2020,74.7692,Colombia
CRI,UMC,2020,79.277,Costa Rica
CUB,UMC,2020,77.5673,Cuba
DMA,UMC,2020,73.649,Dominica
DOM,UMC,2020,72.8894,Dominican Republic
ECU,UMC,2020,72.1535,Ecuador
GRD,UMC,2020,74.9238,Grenada
GTM,UMC,2020,71.7969,Guatemala
GUY,UMC,2020,68.4858,Guyana
HND,LMC,2020,71.4619,Honduras
HTI,LMC,2020,64.0518,Haiti
JAM,UMC,2020,71.8686,Jamaica
KNA,HIC,2020,71.6266,St. Kitts and Nevis
LCA,UMC,2020,73.416,St. Lucia
MEX,UMC,2020,70.1328,Mexico
NIC,LMC,2020,71.7954,Nicaragua
PAN,HIC,2020,76.657,Panama
PER,UMC,2020,73.6655,Peru
PRY,UMC,2020,73.1816,Paraguay
SLV,LMC,2020,71.0609,El Salvador
SUR,UMC,2020,72.5615,Suriname
TTO,HIC,2020,74.4056,Trinidad and Tobago
URY,HIC,2020,78.4298,Uruguay
USA,HIC,2020,77.4144,United States of America
VCT,UMC,2020,72.1256,St. Vincent and the Grenadines
VEN,INX,2020,71.0949,Venezuela
